Protein FDR Confidence Combined,Master,Accession,Description,Gene Symbol,t=0 (Prime),t=24 (NMP),t=36,t=48 (PSM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P02787,Serotransferrin OS=Homo sapiens OX=9606 GN=TF PE=1 SV=3,,4302673.50,407714406.44,1427938.19,2387225.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P08670,Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=4,VIM,14777856.53,9408810.65,5526818.78,4279142.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P60709,"Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1",ACTB,11029231.77,7123131.75,4386808.45,4172064.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P35579,Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4,MYH9,1723255.14,1185131.75,667882.85,491364.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P68032,"Actin, alpha cardiac muscle 1 OS=Homo sapiens OX=9606 GN=ACTC1 PE=1 SV=1",ACTC1,155665.48,142552.66,31132.80,15874.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P02768,Albumin OS=Homo sapiens OX=9606 GN=ALB PE=1 SV=2,ALB,1569474.89,2014611.84,1524163.04,9977091.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q86YZ3,Hornerin OS=Homo sapiens OX=9606 GN=HRNR PE=1 SV=2,HRNR,403175.55,1775207.18,361552.97,3081572.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P02790,Hemopexin OS=Homo sapiens OX=9606 GN=HPX PE=1 SV=2,HPX,168809.39,6877133.85,37153.98,70305.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P15924,Desmoplakin OS=Homo sapiens OX=9606 GN=DSP PE=1 SV=3,DSP,347630.49,610819.61,170455.56,1185852.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P68104,Elongation factor 1-alpha 1 OS=Homo sapiens OX=9606 GN=EEF1A1 PE=1 SV=1,EEF1A1,130679.84,3198173.82,482050.48,418682.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9ULV4,Coronin-1C OS=Homo sapiens OX=9606 GN=CORO1C PE=1 SV=1,CORO1C,426871.33,231007.45,138538.84,67379.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P14923,Junction plakoglobin OS=Homo sapiens OX=9606 GN=JUP PE=1 SV=3,JUP,313292.61,602861.68,191181.01,1169619.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P04406,Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3,GAPDH,206652.55,275632.61,69789.50,557748.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O14950,Myosin regulatory light chain 12B OS=Homo sapiens OX=9606 GN=MYL12B PE=1 SV=2,MYL12B,299635.09,154966.05,83801.72,49076.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q02413,Desmoglein-1 OS=Homo sapiens OX=9606 GN=DSG1 PE=1 SV=2,DSG1,104962.61,237060.77,58288.18,914438.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P12814,Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2,ACTN1,248027.49,172668.98,98862.25,92273.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
