Gene Symbol,t=0 (Prime); WT YAP; Abundance 1218994,t=24 (NMP); WT YAP; Abundance 1218995,t=36; WT YAP; Abundance 1218996,t=48 (PSM); WT YAP; Abundance 1218997
YAP1,7000942,3410220.2,4670548.5,4448562
HNRNPK,641918,909897.44,104161.1,2552587.5
ENO1,,382743.28,,408830.6
NPM1,,342481.03,,1111710
ILF3,,212091.48,68382.78,
PA2G4,,199296.4,,
KHSRP,,194910.22,91681.31,215674.34
XRCC6,185360.72,128119.66,29082.52,631196.5
HNRNPD,,93546.84,,373154.8
PCBP2,,91643.08,,144416
HNRNPR,,53298.55,60723.67,152879.56
PARP1,,51615.01,,258057.42
LIN28A,,32743.35,,
XRCC5,,,,724771.8
ILF2,273190.9,,,475509.28
TEAD2,193328.95,,,214651.4
HNRNPH1,,,,178694.8
PRKDC,,,,163372.16
PCBP1,,,,81006.2
FUBP1,,,,80188.57
SFPQ,,,,75060.03
MCM5,,,,61644.9
TRIM28,,,,52929.88
U2AF2,,,,42029.81
SSRP1,,,,30373.58
MCM3,,,,27586.45
FUS,,,,
GTF2I,,,,
DDX5,74679.94,,,
TEAD4,,,,
SND1,,,,
HNRNPL,,,,
PTBP1,,,,
RBM39,,,,
SUPT16H,,,,
