Gene Symbol, t=0 (Prime); WT YAP; Abundance 1221003 , t=24 (NMP); WT YAP; Abundance 1221004 , t=36; WT YAP; Abundance 1221005 , t=48 (PSM); WT YAP; Abundance 1221006 , t=0 (Prime); WT TAZ; Abundance 1221007 , t=24 (NMP); WT TAZ; Abundance 1221008 , t=36; WT TAZ; Abundance 1221009 , t=48 (PSM); WT TAZ; Abundance 1221010 
NPM1," 643,728,192.00 "," 1,839,884,800.00 "," 416,840,896.00 "," 489,434,080.00 "," 282,235,776.00 "," 1,731,506,304.00 "," 777,363,456.00 "," 127,381,144.00 "
DDX21," 141,252,080.00 "," 382,149,472.00 "," 74,379,112.00 "," 137,757,456.00 "," 69,933,648.00 "," 397,857,152.00 "," 275,186,272.00 "," 23,684,042.00 "
PRKDC," 165,047,760.00 "," 374,240,384.00 "," 91,319,968.00 "," 119,183,688.00 "," 80,696,832.00 "," 367,132,096.00 "," 215,619,632.00 "," 22,944,204.00 "
PARP1," 100,165,936.00 "," 333,644,768.00 "," 61,708,660.00 "," 90,935,784.00 "," 47,099,380.00 "," 298,216,480.00 "," 196,375,984.00 "," 11,628,184.00 "
SFPQ," 141,480,432.00 "," 272,983,584.00 "," 77,486,312.00 "," 125,007,952.00 "," 93,588,944.00 "," 331,160,672.00 "," 247,615,024.00 "," 182,064,048.00 "
NONO," 124,219,768.00 "," 204,536,672.00 "," 73,356,568.00 "," 137,917,296.00 "," 88,428,992.00 "," 227,253,696.00 "," 161,643,664.00 "," 66,641,900.00 "
DDX5," 81,837,232.00 "," 130,100,992.00 "," 37,075,596.00 "," 71,090,176.00 "," 51,793,184.00 "," 133,775,216.00 "," 102,177,136.00 "," 13,408,168.00 "
HNRNPK," 76,812,112.00 "," 124,930,776.00 "," 33,642,520.00 "," 54,589,660.00 "," 32,440,236.00 "," 152,651,904.00 "," 74,638,240.00 "," 17,296,162.00 "
PDCD11," 74,885,496.00 "," 110,829,920.00 "," 23,379,736.00 "," 37,391,696.00 "," 26,549,936.00 "," 124,199,168.00 "," 102,874,152.00 "," 3,626,386.50 "
MYBBP1A," 56,314,532.00 "," 98,984,096.00 "," 22,532,710.00 "," 36,326,728.00 "," 25,562,420.00 "," 132,125,944.00 "," 82,824,592.00 "," 3,379,152.20 "
TOP1," 38,883,764.00 "," 95,274,576.00 "," 17,450,160.00 "," 27,202,388.00 "," 20,710,096.00 "," 79,992,312.00 "," 54,452,660.00 "," 2,592,657.20 "
SMARCA5," 39,762,968.00 "," 78,505,464.00 "," 17,441,140.00 "," 33,983,880.00 "," 22,924,754.00 "," 79,281,184.00 "," 50,010,316.00 "," 2,716,382.80 "
SND1," 24,297,726.00 "," 66,971,976.00 "," 12,248,100.00 "," 19,642,500.00 "," 11,598,880.00 "," 58,692,596.00 "," 35,649,492.00 "," 24,029,452.00 "
TOP2B," 25,295,746.00 "," 65,078,220.00 "," 13,143,633.00 "," 27,224,446.00 "," 16,583,233.00 "," 54,922,968.00 "," 51,830,232.00 "," 2,449,484.80 "
SUPT16H," 14,100,544.00 "," 59,333,780.00 "," 9,873,549.00 "," 23,093,936.00 "," 10,702,722.00 "," 53,387,116.00 "," 34,108,280.00 "," 1,351,518.50 "
RBM14," 28,282,234.00 "," 57,744,836.00 "," 19,669,720.00 "," 17,724,026.00 "," 10,958,950.00 "," 56,778,096.00 "," 37,228,392.00 "," 44,027,204.00 "
PTBP1," 20,283,488.00 "," 56,682,860.00 "," 11,092,401.00 "," 14,543,302.00 "," 7,836,670.00 "," 59,858,504.00 "," 24,856,464.00 "," 3,552,348.80 "
CEBPZ," 36,819,276.00 "," 51,509,744.00 "," 11,572,936.00 "," 20,737,768.00 "," 17,481,720.00 "," 63,446,984.00 "," 42,970,116.00 "," 2,659,162.20 "
RBMX," 32,059,318.00 "," 51,441,632.00 "," 19,212,604.00 "," 33,685,912.00 "," 13,407,346.00 "," 79,940,296.00 "," 28,029,980.00 "," 5,389,719.50 "
HMGA1," 18,300,920.00 "," 49,435,828.00 "," 19,012,174.00 "," 13,594,956.00 "," 5,897,375.50 "," 34,633,008.00 "," 15,565,545.00 "," 4,328,842.50 "
GTF2I," 13,296,206.00 "," 48,772,888.00 "," 9,346,089.00 "," 17,421,946.00 "," 10,633,789.00 "," 55,890,136.00 "," 27,763,316.00 "," 14,469,407.00 "
YAP1," 35,705,408.00 "," 48,507,484.00 "," 36,609,588.00 "," 51,924,876.00 "," 6,658,080.50 "," 14,972,429.00 "," 16,242,735.00 "," 15,666,491.00 "
THRAP3," 16,068,617.00 "," 47,118,868.00 "," 8,538,716.00 "," 21,608,866.00 "," 9,679,272.00 "," 44,720,872.00 "," 24,728,478.00 "," 5,418,738.50 "
HNRNPL," 17,731,462.00 "," 44,186,036.00 "," 10,094,870.00 "," 20,978,982.00 "," 11,673,445.00 "," 46,239,604.00 "," 20,878,846.00 "," 3,861,947.80 "
TRIM28," 12,001,047.00 "," 42,490,856.00 "," 5,170,991.00 "," 7,577,180.00 "," 4,545,200.50 "," 37,933,892.00 "," 19,414,554.00 "," 1,212,881.40 "
ILF3," 13,339,689.00 "," 38,363,100.00 "," 8,145,767.00 "," 10,129,725.00 "," 7,176,214.00 "," 37,898,868.00 "," 21,511,544.00 "," 5,325,602.00 "
FUS," 11,688,676.00 "," 36,087,640.00 "," 9,787,268.00 "," 23,710,418.00 "," 15,174,988.00 "," 39,805,876.00 "," 25,584,052.00 "," 12,909,972.00 "
SMC3," 18,255,638.00 "," 35,982,260.00 "," 9,327,611.00 "," 12,256,029.00 "," 7,916,217.50 "," 35,691,900.00 "," 30,683,830.00 "," 1,448,859.90 "
XRCC6," 8,748,778.00 "," 34,414,680.00 "," 5,740,457.50 "," 6,548,217.00 "," 4,189,892.80 "," 19,675,248.00 "," 11,966,053.00 "," 1,451,074.80 "
DDB1," 5,330,601.50 "," 34,223,712.00 "," 10,162,610.00 "," 9,721,398.00 "," 4,499,064.00 "," 25,143,898.00 "," 20,719,754.00 "," 9,320,790.00 "
SSRP1," 10,453,531.00 "," 32,607,326.00 "," 4,836,479.50 "," 8,022,812.00 "," 4,205,907.50 "," 28,059,832.00 "," 15,441,587.00 "," 1,669,389.80 "
SMARCC1," 10,229,268.00 "," 31,606,744.00 "," 7,042,715.50 "," 10,298,422.00 "," 5,981,158.50 "," 20,260,730.00 "," 13,590,723.00 "," 3,111,396.50 "
HNRNPH1," 7,678,940.00 "," 31,354,664.00 "," 6,491,936.50 "," 13,717,466.00 "," 6,740,244.00 "," 34,262,356.00 "," 16,643,729.00 "," 605,052.80 "
FXR1," 11,979,428.00 "," 28,563,788.00 "," 5,268,272.50 "," 8,647,151.00 "," 5,255,791.50 "," 27,388,748.00 "," 15,310,159.00 "," 311,227.06 "
XRCC5," 5,253,977.50 "," 28,312,664.00 "," 5,422,592.50 "," 6,771,021.00 "," 5,048,174.00 "," 26,002,572.00 "," 15,212,009.00 "," 1,996,389.20 "
PA2G4," 4,624,374.50 "," 27,690,490.00 "," 5,517,006.50 "," 3,984,753.20 "," 1,625,499.90 "," 19,510,990.00 "," 6,464,688.50 "," 407,928.80 "
HNRNPD," 7,430,537.50 "," 27,674,234.00 "," 4,759,356.50 "," 8,822,230.00 "," 5,771,711.50 "," 24,642,088.00 "," 8,606,343.00 "," 973,087.70 "
DNMT3A," 12,391,276.00 "," 27,070,342.00 "," 6,501,099.50 "," 13,132,479.00 "," 8,472,196.00 "," 29,045,186.00 "," 17,883,440.00 "," 1,138,350.50 "
EBNA1BP2," 11,706,422.00 "," 27,015,780.00 "," 5,925,292.00 "," 7,675,146.00 "," 2,753,349.00 "," 26,971,640.00 "," 7,538,270.00 "," 144,173.70 "
SMC1A," 9,824,863.00 "," 26,186,086.00 "," 7,641,670.50 "," 11,147,821.00 "," 5,980,312.50 "," 27,791,016.00 "," 24,793,050.00 "," 2,576,395.20 "
HNRNPR," 13,975,821.00 "," 25,794,476.00 "," 6,717,456.00 "," 13,485,774.00 "," 7,629,311.50 "," 25,208,290.00 "," 16,827,758.00 "," 4,153,218.20 "
SMCHD1," 9,676,343.00 "," 25,304,058.00 "," 4,422,917.50 "," 7,707,716.00 "," 5,991,656.50 "," 26,133,402.00 "," 18,336,246.00 "," 1,613,384.80 "
KHDRBS1," 15,528,787.00 "," 25,219,842.00 "," 8,751,788.00 "," 17,665,118.00 "," 8,821,600.00 "," 27,126,568.00 "," 14,598,600.00 "," 5,498,414.00 "
BCLAF1," 11,509,289.00 "," 23,690,050.00 "," 5,133,406.50 "," 12,916,246.00 "," 3,815,104.00 "," 28,910,680.00 "," 16,334,620.00 "," 1,933,635.90 "
CHD4," 5,733,768.50 "," 23,094,492.00 "," 4,998,967.50 "," 8,724,256.00 "," 4,654,299.00 "," 18,907,514.00 "," 12,476,393.00 "," 718,211.40 "
DNMT3B," 12,348,554.00 "," 22,836,208.00 "," 3,136,147.80 "," 4,039,769.20 "," 10,278,291.00 "," 19,774,126.00 "," 11,299,503.00 "," 1,545,502.20 "
NIPBL," 769,152.60 "," 22,539,968.00 "," 8,701,637.00 "," 4,179,149.50 "," 2,219,799.00 "," 31,022,510.00 "," 11,966,531.00 "," 63,094.55 "
KDM1A," 5,897,241.50 "," 21,908,964.00 "," 3,882,586.20 "," 4,443,323.00 "," 2,239,296.80 "," 16,076,477.00 "," 7,369,283.00 "," 3,276,537.50 "
SMARCA4," 10,796,913.00 "," 21,184,646.00 "," 4,639,476.50 "," 11,587,768.00 "," 5,448,227.00 "," 17,917,304.00 "," 14,394,118.00 "," 2,999,935.20 "
ILF2," 4,414,012.00 "," 20,740,308.00 "," 4,557,516.00 "," 3,764,494.50 "," 1,533,023.00 "," 25,321,304.00 "," 4,698,717.00 "," 71,569.20 "
SRSF1," 11,093,416.00 "," 20,322,606.00 "," 4,350,640.00 "," 7,395,978.00 "," 3,031,721.50 "," 21,137,768.00 "," 6,115,589.00 "," 280,091.12 "
RBM34," 5,227,097.50 "," 19,936,370.00 "," 4,686,666.50 "," 7,080,813.50 "," 1,875,932.60 "," 17,112,864.00 "," 9,294,807.00 "," 427,424.90 "
CBX3," 6,118,632.50 "," 18,424,998.00 "," 3,414,520.20 "," 4,878,899.00 "," 1,736,111.40 "," 14,865,228.00 "," 3,781,237.00 "," 266,892.90 "
TEAD3," 9,003,025.00 "," 18,120,168.00 "," 11,174,237.00 "," 21,815,488.00 "," 289,589.20 "," 1,538,129.60 "," 161,164.61 "," 33,621.27 "
MCM5," 7,468,112.50 "," 17,716,300.00 "," 3,775,527.00 "," 7,003,837.50 "," 4,537,669.50 "," 20,553,082.00 "," 12,362,100.00 "," 1,459,807.50 "
HCFC1," 5,655,174.50 "," 17,214,966.00 "," 6,438,909.50 "," 9,554,873.00 "," 4,178,731.20 "," 13,501,092.00 "," 11,118,048.00 "," 4,431,614.50 "
STAG2," 2,725,899.80 "," 17,087,156.00 "," 2,614,061.00 "," 3,062,878.00 "," 1,736,873.60 "," 10,106,879.00 "," 7,013,603.00 "," 2,077,220.60 "
H2AZ1," 2,921,137.00 "," 17,009,510.00 "," 2,746,212.50 "," 3,752,098.50 "," 2,355,905.80 "," 16,962,234.00 "," 3,630,270.50 "," 26,054.44 "
LMNB1," 9,205,219.00 "," 16,796,484.00 "," 7,770,569.00 "," 6,674,614.50 "," 10,618,749.00 "," 22,974,904.00 "," 17,540,690.00 "," 63,414,832.00 "
MCM3," 5,806,475.50 "," 15,024,654.00 "," 2,771,944.00 "," 4,228,795.00 "," 2,347,559.80 "," 12,487,992.00 "," 7,357,310.50 "," 2,265,206.80 "
LMNB2," 12,814,801.00 "," 14,885,325.00 "," 4,458,604.00 "," 3,474,402.20 "," 2,381,357.00 "," 21,534,154.00 "," 8,587,798.00 "," 1,753,562.80 "
