"Gene Symbol","t=24 (NMP); WT YAP; Abundance 1221004","t=24; WTYAP; Abundance.QEX3_1226029"
NPM1," 1,839,884,800.00 "," 37,611,672.00 "
DDX21," 382,149,472.00 "," 10,570,049.00 "
PRKDC," 374,240,384.00 "," 14,295,462.00 "
PARP1," 333,644,768.00 "," 6,998,616.50 "
SFPQ," 272,983,584.00 "," 29,920,632.00 "
NONO," 204,536,672.00 "," 27,101,778.00 "
DDX5," 130,100,992.00 "," 18,860,726.00 "
HNRNPK," 124,930,776.00 "," 9,548,026.00 "
PDCD11," 110,829,920.00 "," 1,940,967.60 "
TOP1," 95,274,576.00 "," 1,454,752.40 "
SMARCA5," 78,505,464.00 "," 5,513,748.50 "
SND1," 66,971,976.00 "," 1,608,185.90 "
TOP2B," 65,078,220.00 "," 1,352,272.40 "
SUPT16H," 59,333,780.00 "," 2,135,329.00 "
RBM14," 57,744,836.00 "," 5,884,358.00 "
PTBP1," 56,682,860.00 "," 5,062,797.00 "
CEBPZ," 51,509,744.00 "," 1,557,088.00 "
GTF2I," 48,772,888.00 "," 1,990,568.50 "
YAP1," 48,507,484.00 "," 8,242,584.50 "
THRAP3," 47,118,868.00 "," 1,693,455.40 "
HNRNPL," 44,186,036.00 "," 8,199,218.00 "
TRIM28," 42,490,856.00 "," 3,113,471.20 "
ILF3," 38,363,100.00 "," 2,616,493.00 "
FUS," 36,087,640.00 "," 2,464,992.50 "
SMC3," 35,982,260.00 "," 874,615.80 "
XRCC6," 34,414,680.00 "," 470,006.88 "
DDB1," 34,223,712.00 "," 260,224.00 "
SSRP1," 32,607,326.00 "," 2,266,633.50 "
SMARCC1," 31,606,744.00 "," 3,358,758.00 "
HNRNPH1," 31,354,664.00 "," 3,829,886.00 "
FXR1," 28,563,788.00 "," 3,111,350.80 "
XRCC5," 28,312,664.00 "," 1,396,379.20 "
PA2G4," 27,690,490.00 "," 427,887.10 "
HNRNPD," 27,674,234.00 "," 5,560,307.00 "
EBNA1BP2," 27,015,780.00 "," 37,566.46 "
SMC1A," 26,186,086.00 "," 1,481,186.40 "
HNRNPR," 25,794,476.00 "," 4,766,773.00 "
SMCHD1," 25,304,058.00 "," 1,504,178.40 "
KHDRBS1," 25,219,842.00 "," 5,045,007.00 "
BCLAF1," 23,690,050.00 "," 1,919,667.20 "
CHD4," 23,094,492.00 "," 921,661.75 "
DNMT3B," 22,836,208.00 "," 994,398.30 "
KDM1A," 21,908,964.00 "," 903,622.40 "
SMARCA4," 21,184,646.00 "," 3,387,734.80 "
ILF2," 20,740,308.00 "," 2,638,512.50 "
SRSF1," 20,322,606.00 "," 2,345,464.50 "
RBM34," 19,936,370.00 "," 282,749.50 "
CBX3," 18,424,998.00 "," 213,524.84 "
TEAD3," 18,120,168.00 "," 61,322.42 "
MCM5," 17,716,300.00 "," 2,008,915.60 "
HCFC1," 17,214,966.00 "," 296,884.60 "
STAG2," 17,087,156.00 "," 167,179.27 "
H2AZ1," 17,009,510.00 "," 23,029.49 "
LMNB1," 16,796,484.00 "," 525,562.20 "
MCM3," 15,024,654.00 "," 1,973,932.60 "
GLYR1," 12,943,558.00 "," 115,557.70 "
SRSF3," 12,054,593.00 "," 968,310.25 "
PBRM1," 11,868,645.00 "," 1,141,957.20 "
SRSF7," 11,505,770.00 "," 1,223,624.00 "
HDAC2," 10,245,154.00 "," 1,232,532.10 "
EWSR1," 10,124,076.00 "," 406,317.60 "
