Genes, t=0; WTYAP; Abundance.QEX3_1226028 , t=24; WTYAP; Abundance.QEX3_1226029 , t=36; WTYAP; Abundance.QEX3_1226030 , t=48; WTYAP; Abundance.QEX3_1226031 , t=0; Y2TAZ; Abundance.QEX3_1226032 ,, t=36; Y2TAZ; Abundance.QEX3_1226033 , t=48; Y2TAZ; Abundance.QEX3_1226034 
AATF,," 25,686.27 "," 150,399.45 "," 243,124.78 ",,,,
ADNP," 9,176.87 "," 499,624.97 "," 1,368,733.80 "," 4,427,946.50 ",,,,
APEX1,," 39,921.83 "," 183,131.64 "," 191,884.62 ",,,,
ARID1A," 73,519.06 "," 665,300.56 "," 455,434.72 "," 1,710,133.50 ",,,,
ARID2,," 457,492.12 "," 931,049.60 "," 1,974,077.00 ",,,,
BCLAF1,," 1,919,667.20 "," 3,529,607.20 "," 8,091,074.00 ",,,,
BPTF,," 273,303.20 "," 1,403,758.90 "," 2,159,932.80 ",,,,
BRD2,," 19,686.66 "," 713,649.10 "," 1,448,295.90 ",,,,
BRD4,," 416,876.16 "," 2,478,096.80 "," 7,506,228.00 ",,,,
BRD7,," 74,407.54 "," 182,540.56 "," 494,764.80 ",,,,
CBX2,," 46,688.92 "," 242,917.05 "," 397,414.12 ",,,,
CBX3,," 213,524.84 "," 1,093,254.10 "," 998,862.94 ",,,,
CBX5,," 618,053.90 "," 1,222,446.10 "," 3,668,076.50 ",,,,
CDC5L," 15,322.91 "," 543,438.90 "," 980,104.50 "," 2,917,638.50 ",,," 22,489.68 ",
CDK9,," 46,018.05 "," 137,086.02 "," 338,996.97 ",,,,
CEBPZ," 35,487.81 "," 1,557,088.00 "," 1,439,694.20 "," 3,335,802.00 ",,,,
CHAF1B,," 16,504.63 "," 505,141.60 "," 783,478.50 ",,,,
CHAMP1,," 990,950.40 "," 1,689,305.60 "," 8,254,093.00 ",,,,
CHD1,," 12,906.89 "," 459,046.56 "," 69,519.29 ",,,,
CHD4,," 921,661.75 "," 5,278,815.50 "," 18,190,696.00 ",,,,
CHD7,," 32,015.83 "," 24,960.42 ",,,,,
CNBP,," 55,556.44 "," 71,826.06 "," 123,882.04 ",,,,
CPSF3," 17,502.46 "," 431,792.72 "," 856,914.20 "," 1,850,956.60 ",,,,
CREBBP,," 47,450.65 ",,,,,,
CTBP2,," 371,597.16 "," 579,142.80 "," 2,251,415.20 ",,,,
CTCF," 10,855.18 "," 228,435.22 "," 675,876.90 "," 1,271,580.10 ",,,,
CTNNB1,," 1,243,519.50 "," 4,212,895.00 "," 6,837,145.00 ",,,,
DDB1,," 260,224.00 "," 1,237,454.10 "," 760,049.70 ",,,,
DDX21," 742,336.00 "," 10,570,049.00 "," 27,506,754.00 "," 49,692,416.00 "," 56,971.98 ",,,
DDX5," 771,075.20 "," 18,860,726.00 "," 32,915,602.00 "," 84,211,480.00 "," 34,620.28 ",," 8,545.04 ",
DEK,," 188,540.38 "," 475,303.38 "," 1,298,343.80 ",,,,
DNMT1,," 674,515.10 "," 2,401,199.20 "," 4,296,487.00 ",,,,
DNMT3A,," 1,393,347.60 "," 5,327,918.50 "," 5,850,393.00 ",,,,
DNMT3B," 90,465.81 "," 994,398.30 "," 2,592,223.50 "," 5,904,549.00 "," 47,885.07 ",,,
DPF2,," 52,307.69 "," 52,200.72 "," 143,221.98 ",,,,
EBNA1BP2,," 37,566.46 "," 874,925.60 "," 2,854,442.00 ",,,,
EED,," 29,473.97 "," 646,445.20 "," 148,660.11 ",,,,
EHMT2,," 323,063.50 "," 547,487.94 "," 1,005,988.30 ",,,,
EIF2AK2,," 82,736.80 "," 300,098.10 "," 913,919.50 ",,,,
EP400,," 34,837.93 "," 82,278.21 "," 549,646.70 ",,,,
EWSR1,," 406,317.60 "," 1,045,160.75 "," 4,121,852.20 ",,,,
FIP1L1,," 117,849.21 "," 820,179.40 "," 1,245,890.60 ",,,,
FUBP3,," 368,459.38 "," 403,706.72 "," 1,290,831.50 ",,,,
FUS,," 2,464,992.50 "," 6,080,091.00 "," 16,172,718.00 "," 46,686.97 ",,,
FXR1," 52,154.88 "," 3,111,350.80 "," 3,752,975.80 "," 15,009,172.00 ",,,,
GATAD2A,," 363,345.72 "," 572,608.70 "," 3,369,434.20 ",,,,
GLYR1,," 115,557.70 "," 633,376.30 "," 680,281.50 ",,,,
GTF2I,," 1,990,568.50 "," 2,505,868.00 "," 12,513,610.00 "," 12,952.27 ",,,
GTF3C2,," 59,391.39 "," 136,541.97 "," 162,023.78 ",,,,
GTF3C5,," 38,065.07 "," 206,233.69 "," 303,860.90 ",,,,
H2AZ1,," 23,029.49 "," 4,040,881.20 "," 923,163.75 ",,,,
HCFC1,," 296,884.60 "," 1,984,841.00 "," 14,391,743.00 ",,,,
HDAC1,," 192,549.12 "," 257,391.66 "," 775,096.90 ",,,,
HDAC2," 6,550.18 "," 1,232,532.10 "," 2,608,214.00 "," 7,742,352.00 "," 10,181.73 ",,,
HNRNPD,," 5,560,307.00 "," 10,325,032.00 "," 24,441,234.00 "," 13,669.26 ",,,
HNRNPH1," 47,842.51 "," 3,829,886.00 "," 9,949,522.00 "," 36,472,840.00 "," 75,495.29 ",,,
