Gene Symbol, t=0; WT TAZ; Abundance 1226503 , t=24; WT TAZ; Abundance 1226504 , t=36; WT TAZ; Abundance 1226505 , t=48; WT TAZ; Abundance 1226506 , t=0; Y2 TAZ; Abundance 1226507 , t=24; Y2 TAZ; Abundance 1226508 , t=36; Y2 TAZ; Abundance 1226509 , t=48; Y2 TAZ; Abundance 1226510 
NPM1," 331,001,216.00 "," 401,141,920.00 "," 816,338,752.00 "," 945,759,488.00 "," 2,674,077.80 "," 22,118,208.00 "," 83,791,984.00 "," 32,538,442.00 "
SFPQ," 116,386,656.00 "," 306,186,208.00 "," 616,480,768.00 "," 612,954,176.00 "," 2,061,861.50 "," 14,032,646.00 "," 47,520,308.00 "," 12,903,451.00 "
PRKDC," 135,561,968.00 "," 191,943,968.00 "," 393,806,272.00 "," 490,039,136.00 "," 1,022,072.30 "," 10,724,036.00 "," 46,759,968.00 "," 14,700,667.00 "
DDX5," 126,028,064.00 "," 184,653,536.00 "," 294,341,216.00 "," 427,313,600.00 "," 1,617,691.40 "," 9,940,530.00 "," 45,198,904.00 "," 14,795,652.00 "
NONO," 79,808,912.00 "," 176,752,848.00 "," 357,597,440.00 "," 385,532,736.00 "," 1,129,085.10 "," 7,896,695.00 "," 27,259,544.00 "," 10,370,047.00 "
DDX21," 113,569,968.00 "," 163,377,648.00 "," 301,454,144.00 "," 343,932,064.00 "," 419,111.12 "," 6,121,782.00 "," 29,064,146.00 "," 5,582,831.50 "
HNRNPK," 93,362,424.00 "," 129,553,440.00 "," 221,330,192.00 "," 311,122,528.00 "," 1,618,417.10 "," 5,862,660.00 "," 18,453,390.00 "," 9,061,118.00 "
PARP1," 66,172,928.00 "," 93,438,544.00 "," 175,038,880.00 "," 202,717,600.00 "," 535,348.00 "," 20,401,488.00 "," 112,753,856.00 "," 12,489,316.00 "
RBMX," 55,612,476.00 "," 72,092,488.00 "," 160,263,520.00 "," 210,859,664.00 "," 873,275.80 "," 3,770,120.00 "," 23,435,942.00 "," 5,327,926.50 "
SUPT16H," 46,942,256.00 "," 64,710,636.00 "," 132,852,576.00 "," 209,902,320.00 "," 356,242.16 "," 3,461,387.50 "," 25,358,996.00 "," 3,564,193.00 "
HNRNPH1," 42,072,552.00 "," 62,693,172.00 "," 124,691,248.00 "," 187,618,304.00 "," 1,199,367.60 "," 3,312,804.20 "," 11,887,972.00 "," 6,591,328.50 "
MYBBP1A," 46,356,080.00 "," 59,167,628.00 "," 126,128,024.00 "," 159,257,040.00 "," 225,876.62 "," 1,197,654.20 "," 7,699,485.50 "," 2,305,443.00 "
SSRP1," 48,119,064.00 "," 57,789,344.00 "," 132,638,232.00 "," 189,622,496.00 "," 75,801.86 "," 2,548,014.50 "," 24,990,202.00 "," 2,915,173.00 "
SMARCA5," 39,820,840.00 "," 54,692,848.00 "," 95,362,656.00 "," 117,638,616.00 "," 530,580.94 "," 4,145,745.00 "," 19,656,886.00 "," 4,431,977.00 "
FUS," 27,749,678.00 "," 48,074,496.00 "," 78,444,632.00 "," 105,355,224.00 "," 1,074,966.20 "," 4,923,365.50 "," 19,482,696.00 "," 6,244,537.00 "
HNRNPD," 40,525,184.00 "," 46,712,648.00 "," 86,239,976.00 "," 146,795,936.00 "," 545,879.40 "," 4,345,986.00 "," 13,114,406.00 "," 4,471,569.00 "
SND1," 23,249,198.00 "," 46,614,864.00 "," 108,630,120.00 "," 136,942,736.00 "," 504,216.03 "," 1,342,603.50 "," 5,201,219.00 "," 2,183,494.50 "
HNRNPL," 30,294,348.00 "," 45,869,044.00 "," 78,720,480.00 "," 132,847,096.00 "," 803,099.75 "," 3,723,510.50 "," 10,624,991.00 "," 5,765,415.00 "
PTBP1," 40,490,408.00 "," 43,116,088.00 "," 97,463,944.00 "," 132,275,416.00 "," 392,547.53 "," 2,153,226.50 "," 8,056,788.00 "," 3,867,198.00 "
PDCD11," 54,632,228.00 "," 42,627,976.00 "," 74,205,648.00 "," 47,235,824.00 "," 376,984.88 "," 3,130,587.00 "," 13,365,082.00 "," 4,718,955.00 "
SMC3," 21,267,166.00 "," 36,131,092.00 "," 78,683,384.00 "," 93,984,872.00 "," 71,015.94 "," 1,132,839.60 "," 6,244,637.00 "," 1,720,945.10 "
FXR1," 23,227,020.00 "," 35,696,128.00 "," 48,939,096.00 "," 64,067,768.00 "," 56,707.72 "," 924,901.75 "," 4,285,951.50 "," 1,498,243.20 "
HNRNPR," 20,069,674.00 "," 35,514,448.00 "," 66,101,296.00 "," 97,597,616.00 "," 373,438.40 "," 2,307,897.00 "," 9,672,721.00 "," 3,598,653.80 "
ILF3," 17,930,278.00 "," 33,889,840.00 "," 60,902,708.00 "," 86,522,840.00 "," 683,264.20 "," 2,389,226.20 "," 8,893,628.00 "," 2,602,018.00 "
KHDRBS1," 18,237,758.00 "," 33,758,960.00 "," 53,806,696.00 "," 87,267,392.00 "," 117,433.58 "," 2,375,535.80 "," 7,672,498.00 "," 2,806,852.20 "
SMCHD1," 17,247,390.00 "," 33,333,784.00 "," 41,606,496.00 "," 49,131,664.00 ",," 758,963.06 "," 6,408,734.50 "," 927,752.56 "
TOP1," 27,858,000.00 "," 31,861,300.00 "," 66,177,944.00 "," 96,382,576.00 "," 412,293.38 "," 2,840,627.00 "," 25,626,392.00 "," 2,483,630.00 "
HCFC1," 28,172,416.00 "," 30,026,788.00 "," 40,778,116.00 "," 51,988,224.00 "," 2,687,637.80 "," 6,971,062.50 "," 15,606,378.00 "," 5,751,316.00 "
RBM14," 11,182,354.00 "," 29,922,650.00 "," 52,022,124.00 "," 50,808,232.00 "," 206,004.48 "," 1,438,265.60 "," 8,246,042.00 "," 2,296,531.00 "
ILF2," 21,221,366.00 "," 29,459,174.00 "," 55,685,544.00 "," 69,425,088.00 "," 461,278.12 "," 2,221,298.80 "," 9,325,729.00 "," 3,326,063.00 "
SMC1A," 18,595,388.00 "," 29,226,882.00 "," 70,239,328.00 "," 87,660,464.00 "," 122,815.24 "," 1,414,566.20 "," 4,811,190.50 "," 1,399,928.50 "
THRAP3," 24,972,352.00 "," 29,127,132.00 "," 65,224,284.00 "," 84,504,600.00 "," 74,123.68 "," 1,504,116.00 "," 6,439,059.00 "," 1,145,407.40 "
TRIM28," 16,997,012.00 "," 28,029,776.00 "," 55,600,728.00 "," 78,261,872.00 "," 547,318.56 "," 3,407,139.00 "," 10,129,893.00 "," 5,005,897.50 "
XRCC5," 22,401,816.00 "," 28,024,720.00 "," 65,489,552.00 "," 75,789,888.00 "," 111,699.04 "," 1,514,753.00 "," 12,241,011.00 "," 1,889,563.90 "
GTF2I," 17,809,590.00 "," 25,701,108.00 "," 47,242,552.00 "," 62,011,412.00 "," 1,065,348.50 "," 4,100,242.50 "," 11,785,161.00 "," 6,703,758.50 "
XRCC6," 22,403,622.00 "," 25,512,664.00 "," 60,484,792.00 "," 74,830,944.00 "," 175,390.05 "," 1,485,577.60 "," 10,050,964.00 "," 2,591,944.80 "
WWTR1," 5,784,473.50 "," 24,522,542.00 "," 36,042,460.00 "," 39,804,056.00 "," 2,015,132.00 "," 8,139,006.50 "," 19,569,310.00 "," 11,103,896.00 "
CEBPZ," 36,631,912.00 "," 24,097,388.00 "," 41,164,476.00 "," 45,462,736.00 "," 100,149.06 "," 538,417.80 "," 3,471,318.00 "," 994,227.70 "
DNMT3B," 27,655,628.00 "," 23,626,094.00 "," 42,045,024.00 "," 47,914,912.00 "," 335,477.10 "," 1,813,799.20 "," 10,895,423.00 "," 1,606,877.60 "
DNMT3A," 14,583,695.00 "," 23,472,592.00 "," 42,114,620.00 "," 38,691,096.00 "," 117,737.36 "," 1,416,555.90 "," 9,272,237.00 "," 1,053,969.00 "
SMARCC1," 14,173,112.00 "," 22,864,228.00 "," 44,182,144.00 "," 54,207,604.00 "," 692,850.56 "," 2,147,636.80 "," 7,083,596.00 "," 2,383,498.00 "
TOP2B," 34,840,856.00 "," 22,248,348.00 "," 50,106,900.00 "," 66,147,536.00 "," 133,325.39 "," 3,260,898.50 "," 26,609,972.00 "," 3,340,915.50 "
PA2G4," 15,073,234.00 "," 22,243,688.00 "," 43,528,812.00 "," 67,480,632.00 "," 41,365.83 "," 1,138,752.20 "," 6,172,442.00 "," 1,383,869.50 "
SRSF1," 13,164,233.00 "," 21,749,840.00 "," 53,850,920.00 "," 61,453,892.00 "," 170,406.88 "," 774,104.06 "," 4,747,789.50 "," 1,454,844.60 "
CHD4," 10,567,987.00 "," 20,653,608.00 "," 46,112,304.00 "," 50,361,996.00 "," 97,301.39 "," 1,309,629.90 "," 6,590,970.00 "," 1,625,759.60 "
MCM3," 14,582,918.00 "," 19,728,244.00 "," 39,694,532.00 "," 46,163,132.00 "," 128,512.37 "," 1,058,368.80 "," 4,912,902.00 "," 3,245,408.20 "
BCLAF1," 11,176,710.00 "," 16,009,201.00 "," 37,469,432.00 "," 58,215,132.00 "," 34,929.08 "," 750,938.56 "," 4,475,720.50 "," 779,603.40 "
SALL4," 9,397,107.00 "," 15,933,725.00 "," 27,332,418.00 "," 34,733,712.00 "," 9,672.08 "," 763,615.10 "," 2,252,284.80 "," 724,673.40 "
KDM1A," 9,049,324.00 "," 15,698,541.00 "," 29,034,292.00 "," 34,430,800.00 "," 13,270.89 "," 1,065,017.40 "," 4,838,798.50 "," 1,110,824.90 "
MCM5," 10,338,679.00 "," 15,561,254.00 "," 33,647,892.00 "," 33,092,534.00 "," 132,598.25 "," 946,304.20 "," 4,286,212.00 "," 2,400,068.50 "
PBRM1," 8,382,168.50 "," 15,479,570.00 "," 32,886,902.00 "," 39,563,828.00 "," 25,542.97 "," 496,326.90 "," 3,427,890.00 "," 624,358.40 "
ZMYND8," 5,783,636.50 "," 15,186,981.00 "," 36,261,820.00 "," 16,728,780.00 "," 38,267,092.00 "," 5,022,797.00 "," 10,463,510.00 "," 15,558,168.00 "
UBTF," 14,196,750.00 "," 14,542,369.00 "," 26,321,058.00 "," 39,440,528.00 "," 17,855.52 "," 328,917.28 "," 3,076,713.20 "," 669,092.70 "
HDAC2," 8,530,699.00 "," 13,449,772.00 "," 31,915,472.00 "," 28,005,650.00 "," 195,391.80 "," 1,181,746.80 "," 4,967,559.50 "," 1,457,104.50 "
SRSF3," 8,025,543.50 "," 13,424,718.00 "," 33,204,094.00 "," 35,072,604.00 "," 196,960.72 "," 618,497.56 "," 4,089,990.50 "," 947,101.40 "
PCBP1," 10,650,648.00 "," 13,125,778.00 "," 23,794,618.00 "," 41,634,344.00 "," 217,511.69 "," 2,217,157.00 "," 5,796,036.50 "," 2,836,307.00 "
SMARCA4," 9,021,781.00 "," 13,071,473.00 "," 22,981,608.00 "," 30,537,400.00 "," 145,497.56 "," 739,212.90 "," 3,724,132.20 "," 1,364,026.20 "
SRSF7," 5,880,567.50 "," 12,509,272.00 "," 26,894,580.00 "," 29,452,610.00 "," 35,777.70 "," 421,258.84 "," 3,107,789.80 "," 711,579.10 "
DNMT1," 3,516,591.80 "," 12,162,227.00 "," 17,075,586.00 "," 25,691,684.00 "," 85,838.46 "," 829,684.94 "," 5,328,729.50 "," 956,655.44 "
SYNCRIP," 8,784,887.00 "," 12,132,998.00 "," 20,978,542.00 "," 28,619,484.00 "," 226,641.80 "," 799,497.94 "," 3,255,184.20 "," 1,462,374.20 "
BRD4," 3,791,413.50 "," 11,581,260.00 "," 29,643,658.00 "," 30,216,650.00 "," 62,638.59 "," 537,630.40 "," 5,603,773.00 "," 310,443.53 "
RUVBL1," 10,580,445.00 "," 11,577,541.00 "," 28,334,976.00 "," 37,602,992.00 "," 205,264.64 "," 1,114,861.40 "," 4,843,365.00 "," 3,282,525.80 "
STAG2," 7,076,645.00 "," 11,209,053.00 "," 27,584,876.00 "," 29,587,706.00 ",," 166,372.58 "," 1,366,200.80 "," 484,159.44 "
CTNNB1," 7,331,351.00 "," 11,006,625.00 "," 26,048,360.00 "," 28,880,954.00 ",," 496,961.56 "," 2,971,170.00 "," 487,392.10 "
