"Gene Symbol","t=0 (Prime); WT YAP; Abundance 1218994","t=24 (NMP); WT YAP; Abundance 1218995","t=36; WT YAP; Abundance 1218996","t=48 (PSM); WT YAP; Abundance 1218997"
YAP1,7000942,3410220.0,4670548.5,4448562
HNRNPK,641918,909897.44,104161.1,2552588
ENO1,,382743.28,,408831
NPM1,,342481.03,,1111710
ILF3,,212091.48,68382.78,
PA2G4,,199296.4,,
KHSRP,,194910.22,91681.31,215674
XRCC6,185361,128119.66,29082.52,631197
HNRNPD,,93546.84,,373155
PCBP2,,91643.08,,144416
HNRNPR,,53298.55,60723.67,152880
PARP1,,51615.01,,258057
LIN28A,,32743.35,,
