Gene Symbol,t=24 (NMP); WT TAZ; Abundance 1221008,t=24; WT TAZ; Abundance 1226504
NPM1,"1,731,506,304.00","401,141,920.00"
SFPQ,"331,160,672.00","306,186,208.00"
PRKDC,"367,132,096.00","191,943,968.00"
DDX5,"133,775,216.00","184,653,536.00"
NONO,"227,253,696.00","176,752,848.00"
DDX21,"397,857,152.00","163,377,648.00"
HNRNPK,"152,651,904.00","129,553,440.00"
PARP1,"298,216,480.00","93,438,544.00"
RBMX,"79,940,296.00","72,092,488.00"
SUPT16H,"53,387,116.00","64,710,636.00"
HNRNPH1,"34,262,356.00","62,693,172.00"
MYBBP1A,"132,125,944.00","59,167,628.00"
SSRP1,"28,059,832.00","57,789,344.00"
SMARCA5,"79,281,184.00","54,692,848.00"
FUS,"39,805,876.00","48,074,496.00"
HNRNPD,"24,642,088.00","46,712,648.00"
SND1,"58,692,596.00","46,614,864.00"
HNRNPL,"46,239,604.00","45,869,044.00"
PTBP1,"59,858,504.00","43,116,088.00"
PDCD11,"124,199,168.00","42,627,976.00"
SMC3,"35,691,900.00","36,131,092.00"
FXR1,"27,388,748.00","35,696,128.00"
HNRNPR,"25,208,290.00","35,514,448.00"
ILF3,"37,898,868.00","33,889,840.00"
KHDRBS1,"27,126,568.00","33,758,960.00"
SMCHD1,"26,133,402.00","33,333,784.00"
TOP1,"79,992,312.00","31,861,300.00"
HCFC1,"13,501,092.00","30,026,788.00"
RBM14,"56,778,096.00","29,922,650.00"
ILF2,"25,321,304.00","29,459,174.00"
SMC1A,"27,791,016.00","29,226,882.00"
THRAP3,"44,720,872.00","29,127,132.00"
TRIM28,"37,933,892.00","28,029,776.00"
XRCC5,"26,002,572.00","28,024,720.00"
GTF2I,"55,890,136.00","25,701,108.00"
XRCC6,"19,675,248.00","25,512,664.00"
WWTR1,"8,984,235.00","24,522,542.00"
CEBPZ,"63,446,984.00","24,097,388.00"
DNMT3B,"19,774,126.00","23,626,094.00"
DNMT3A,"29,045,186.00","23,472,592.00"
SMARCC1,"20,260,730.00","22,864,228.00"
TOP2B,"54,922,968.00","22,248,348.00"
PA2G4,"19,510,990.00","22,243,688.00"
SRSF1,"21,137,768.00","21,749,840.00"
CHD4,"18,907,514.00","20,653,608.00"
MCM3,"12,487,992.00","19,728,244.00"
BCLAF1,"28,910,680.00","16,009,201.00"
SALL4,"4,493,185.50","15,933,725.00"
KDM1A,"16,076,477.00","15,698,541.00"
MCM5,"20,553,082.00","15,561,254.00"
PBRM1,"17,558,348.00","15,479,570.00"
ZMYND8,"4,546,290.50","15,186,981.00"
