Gene Symbol,t=24 (NMP); WT YAP; Abundance 1221004,t=24; WTYAP; Abundance.QEX3_1226029,t=24 (NMP); WT TAZ; Abundance 1221008,t=24; WT TAZ; Abundance 1226504
NPM1,"1,839,884,800.00","37,611,672.00","1,731,506,304.00","401,141,920.00"
DDX21,"382,149,472.00","10,570,049.00","397,857,152.00","163,377,648.00"
PRKDC,"374,240,384.00","14,295,462.00","367,132,096.00","191,943,968.00"
PARP1,"333,644,768.00","6,998,616.50","298,216,480.00","93,438,544.00"
SFPQ,"272,983,584.00","29,920,632.00","331,160,672.00","306,186,208.00"
NONO,"204,536,672.00","27,101,778.00","227,253,696.00","176,752,848.00"
DDX5,"130,100,992.00","18,860,726.00","133,775,216.00","184,653,536.00"
HNRNPK,"124,930,776.00","9,548,026.00","152,651,904.00","129,553,440.00"
PDCD11,"110,829,920.00","1,940,967.60","124,199,168.00","42,627,976.00"
MYBBP1A,"98,984,096.00","5,117,475.00","132,125,944.00","59,167,628.00"
TOP1,"95,274,576.00","1,454,752.40","79,992,312.00","31,861,300.00"
SMARCA5,"78,505,464.00","5,513,748.50","79,281,184.00","54,692,848.00"
SND1,"66,971,976.00","1,608,185.90","58,692,596.00","46,614,864.00"
TOP2B,"65,078,220.00","1,352,272.40","54,922,968.00","22,248,348.00"
SUPT16H,"59,333,780.00","2,135,329.00","53,387,116.00","64,710,636.00"
RBM14,"57,744,836.00","5,884,358.00","56,778,096.00","29,922,650.00"
PTBP1,"56,682,860.00","5,062,797.00","59,858,504.00","43,116,088.00"
CEBPZ,"51,509,744.00","1,557,088.00","63,446,984.00","24,097,388.00"
RBMX,"51,441,632.00","14,506,373.00","79,940,296.00","72,092,488.00"
GTF2I,"48,772,888.00","1,990,568.50","55,890,136.00","25,701,108.00"
YAP1,"48,507,484.00","8,242,584.50","14,972,429.00","7,353,974.50"
THRAP3,"47,118,868.00","1,693,455.40","44,720,872.00","29,127,132.00"
HNRNPL,"44,186,036.00","8,199,218.00","46,239,604.00","45,869,044.00"
TRIM28,"42,490,856.00","3,113,471.20","37,933,892.00","28,029,776.00"
ILF3,"38,363,100.00","2,616,493.00","37,898,868.00","33,889,840.00"
FUS,"36,087,640.00","2,464,992.50","39,805,876.00","48,074,496.00"
SMC3,"35,982,260.00","874,615.80","35,691,900.00","36,131,092.00"
XRCC6,"34,414,680.00","470,006.88","19,675,248.00","25,512,664.00"
DDB1,"34,223,712.00","260,224.00","25,143,898.00","10,032,509.00"
SSRP1,"32,607,326.00","2,266,633.50","28,059,832.00","57,789,344.00"
SMARCC1,"31,606,744.00","3,358,758.00","20,260,730.00","22,864,228.00"
HNRNPH1,"31,354,664.00","3,829,886.00","34,262,356.00","62,693,172.00"
