Gene Symbol,"t=24 WT YAP, Abundance QEX3_1244800","t=24 YT2 YAP, Abundance QEX3_1244801","t=24 WT TAZ, Abundance QEX3_1244798","t=24 YT2 TAZ, Abundance QEX3_1244799"
WWTR1,38800.00,,11800000.00,
H2AZ1,5710000.00,,4500000.00,
CBX5,2670000.00,,1770000.00,
SMC1A,1710000.00,,1140000.00,
SVIL,1390000.00,,706000.00,
SMCHD1,1270000.00,,599000.00,
CBX3,874000.00,,560000.00,
ZMYND8,1160000.00,,559000.00,
ZNF280C,733000.00,,518000.00,
ZNF532,582000.00,,443000.00,
CHD2,619000.00,,437000.00,
BRD2,279000.00,,292000.00,
ZNF687,461000.00,,291000.00,
CDCA7L,259000.00,,235000.00,
NVL,352000.00,,212000.00,
MPHOSPH8,270000.00,,195000.00,
SCML2,235000.00,,192000.00,
KDM2A,216000.00,,180000.00,
ZMYM3,211000.00,,166000.00,
EHMT2,237000.00,,147000.00,
TRRAP,154000.00,,132000.00,
PHF10,121000.00,,107000.00,
BRD7,259000.00,,107000.00,
CDK9,151000.00,,100000.00,
NIPBL,200000.00,,98300.00,
EP300,105000.00,,88000.00,
ERCC3,150000.00,,83000.00,
RAD21,52400.00,,80300.00,
SON,45700.00,,77000.00,
SMC4,95300.00,,73600.00,
EED,122000.00,,72400.00,
XPC,102000.00,,66600.00,
RING1,104000.00,,62800.00,
MTHFD1,44500.00,,59500.00,
RNGTT,91200.00,,59300.00,
CDC73,103000.00,,57100.00,
CTR9,76700.00,,53100.00,
ATRX,52700.00,,48300.00,
TDRD3,73300.00,,46600.00,
SETD1A,60100.00,,43600.00,
JARID2,135000.00,,42800.00,
HDAC1,94100.00,,42200.00,
AFF4,70300.00,,41900.00,
ZFP91,,,41300.00,
ZNF768,53900.00,,41200.00,
TUBG1,66400.00,,40800.00,
INTS13,47800.00,,40700.00,
INTS11,39500.00,,39000.00,
SUZ12,37200.00,,38900.00,
SAP130,72500.00,,34700.00,
SIN3A,54100.00,,34600.00,
KDM2B,76700.00,,31600.00,
ZNF121,26000.00,,30300.00,
CBX1,64800.00,,29700.00,
MAZ,,,28700.00,
PAWR,78700.00,,28500.00,
LRRFIP1,61700.00,,23600.00,
TEAD4,694000.00,,15600.00,
WDR5,129000.00,,,
CHAF1B,84800.00,,,
ZNF281,82900.00,,,
ARID1B,75300.00,,,
BPTF,66800.00,,,
ZNF592,47700.00,,,
CHD7,44100.00,,,
SMARCC2,34500.00,,,
KMT2A,31300.00,,,
SIPA1,31000.00,,,
FANCD2,20100.00,,,
AEBP2,,,,
ASH2L,,,,
BARD1,,,,
BRD4,,,,
CCAR2,,,,
CSNK2A1,,,,
DPF2,,,,
DYRK1A,,,,
EP400,,,,
FXR2,,,,
HMG20A,,,,
KAT6A,,,,
LMNB2,,,,
MCM2,,,,
NBN,,,,
NFRKB,,,,
ORC2,,,,
PHF2,,,,
PHF5A,,,,
PML,,,,
RPA1,,,,
SKP2,,,,
SUGP1,,,,
SUPT5H,,,,
TASOR,,,,
TCF25,,,,
TERF1,,,,
ZBTB24,,,,
ZEB2,,,,
ZNF512B,,,,
