Gene Symbol,"t=24 WT YAP, Abundance QEX3_1244800","t=24 YT2 YAP, Abundance QEX3_1244801","t=24 WT TAZ, Abundance QEX3_1244798","t=24 YT2 TAZ, Abundance QEX3_1244799"
WWTR1,3.88E+04,,1.18E+07,
H2AZ1,5.71E+06,,4.50E+06,
CBX5,2.67E+06,,1.77E+06,
SMC1A,1.71E+06,,1.14E+06,
SVIL,1.39E+06,,7.06E+05,
SMCHD1,1.27E+06,,5.99E+05,
CBX3,8.74E+05,,5.60E+05,
ZMYND8,1.16E+06,,5.59E+05,
ZNF280C,7.33E+05,,5.18E+05,
ZNF532,5.82E+05,,4.43E+05,
CHD2,6.19E+05,,4.37E+05,
BRD2,2.79E+05,,2.92E+05,
ZNF687,4.61E+05,,2.91E+05,
CDCA7L,2.59E+05,,2.35E+05,
NVL,3.52E+05,,2.12E+05,
MPHOSPH8,2.70E+05,,1.95E+05,
SCML2,2.35E+05,,1.92E+05,
KDM2A,2.16E+05,,1.80E+05,
ZMYM3,2.11E+05,,1.66E+05,
EHMT2,2.37E+05,,1.47E+05,
TRRAP,1.54E+05,,1.32E+05,
PHF10,1.21E+05,,1.07E+05,
BRD7,2.59E+05,,1.07E+05,
CDK9,1.51E+05,,1.00E+05,
NIPBL,2.00E+05,,9.83E+04,
EP300,1.05E+05,,8.80E+04,
ERCC3,1.50E+05,,8.30E+04,
RAD21,5.24E+04,,8.03E+04,
SON,4.57E+04,,7.70E+04,
SMC4,9.53E+04,,7.36E+04,
EED,1.22E+05,,7.24E+04,
XPC,1.02E+05,,6.66E+04,
RING1,1.04E+05,,6.28E+04,
MTHFD1,4.45E+04,,5.95E+04,
RNGTT,9.12E+04,,5.93E+04,
CDC73,1.03E+05,,5.71E+04,
CTR9,7.67E+04,,5.31E+04,
ATRX,5.27E+04,,4.83E+04,
TDRD3,7.33E+04,,4.66E+04,
SETD1A,6.01E+04,,4.36E+04,
JARID2,1.35E+05,,4.28E+04,
HDAC1,9.41E+04,,4.22E+04,
AFF4,7.03E+04,,4.19E+04,
ZFP91,,,4.13E+04,
ZNF768,5.39E+04,,4.12E+04,
TUBG1,6.64E+04,,4.08E+04,
INTS13,4.78E+04,,4.07E+04,
INTS11,3.95E+04,,3.90E+04,
SUZ12,3.72E+04,,3.89E+04,
SAP130,7.25E+04,,3.47E+04,
SIN3A,5.41E+04,,3.46E+04,
KDM2B,7.67E+04,,3.16E+04,
ZNF121,2.60E+04,,3.03E+04,
CBX1,6.48E+04,,2.97E+04,
MAZ,,,2.87E+04,
PAWR,7.87E+04,,2.85E+04,
LRRFIP1,6.17E+04,,2.36E+04,
TEAD4,6.94E+05,,1.56E+04,
WDR5,1.29E+05,,,
CHAF1B,8.48E+04,,,
ZNF281,8.29E+04,,,
ARID1B,7.53E+04,,,
BPTF,6.68E+04,,,
ZNF592,4.77E+04,,,
CHD7,4.41E+04,,,
SMARCC2,3.45E+04,,,
KMT2A,3.13E+04,,,
SIPA1,3.10E+04,,,
FANCD2,2.01E+04,,,
AEBP2,,,,
ASH2L,,,,
BARD1,,,,
BRD4,,,,
CCAR2,,,,
CSNK2A1,,,,
DPF2,,,,
DYRK1A,,,,
EP400,,,,
FXR2,,,,
HMG20A,,,,
KAT6A,,,,
LMNB2,,,,
MCM2,,,,
NBN,,,,
NFRKB,,,,
ORC2,,,,
PHF2,,,,
PHF5A,,,,
PML,,,,
RPA1,,,,
SKP2,,,,
SUGP1,,,,
SUPT5H,,,,
TASOR,,,,
TCF25,,,,
TERF1,,,,
ZBTB24,,,,
ZEB2,,,,
ZNF512B,,,,
