Gene Symbol,t=24 WT YAP Abundance 1248771,t=24 YT2 YAP Abundance 1248772,t=24 WT TAZ Abundance 1248773,t=24 YT2 TAZ Abundance 1248774,t=24 Y2 TAZ Abundance 1248775
DPF2,99500.00,,57500.00,,
SMARCA2,71600.00,,52100.00,,
MCM5,35000.00,,36100.00,,
CHD8,33900.00,,32200.00,,
ARID2,59600.00,,21300.00,,
TEAD4,2960000.00,,16700.00,,
TEAD1,4040000.00,,,,
HNRNPUL1,176000.00,,,,
TIAL1,43700.00,,,,
ETV6,,,,,
SF1,,,,,
INTS12,,,,,
SMC3,,,,,
SAP130,,,,,
GSPT2,,,,,
XRN2,,,,,
ZMYND8,,,,,
ZNF362,,,,,
ZNF532,,,,,
ARID1B,,,,,
