Gene Symbol,t=24 WT YAP Abundance 1248771,t=24 YT2 YAP Abundance 1248772,t=24 WT TAZ Abundance 1248773,t=24 YT2 TAZ Abundance 1248774,t=24 Y2 TAZ Abundance 1248775
HCFC1,3.35E+07,1.55E+07,2.57E+07,1.15E+07,2.42E+05
EMSY,9.16E+06,5.99E+06,6.51E+06,4.87E+06,2.53E+03
TOP1,3.91E+06,4.53E+06,3.18E+06,4.09E+06,2.71E+06
SFPQ,4.01E+06,6.50E+05,1.70E+06,1.45E+06,8.38E+04
RBMX,6.39E+06,1.37E+06,4.07E+06,1.43E+06,1.33E+05
GATAD2A,2.12E+06,1.60E+06,1.47E+06,1.38E+06,1.46E+05
NFRKB,3.73E+06,1.59E+06,3.32E+06,1.21E+06,2.31E+04
DDX5,3.99E+06,1.00E+06,2.71E+06,1.17E+06,1.31E+04
HNRNPL,4.60E+06,5.08E+05,2.08E+06,1.06E+06,5.97E+04
HNRNPK,3.27E+06,6.98E+05,1.98E+06,1.05E+06,8.47E+04
NONO,2.68E+06,4.23E+05,1.05E+06,8.72E+05,7.39E+04
DIDO1,9.04E+04,8.82E+05,6.31E+04,7.34E+05,7.42E+03
ADNP,9.07E+05,6.43E+05,6.72E+05,5.62E+05,2.92E+04
HNRNPH1,1.15E+06,1.97E+05,8.01E+05,5.20E+05,3.85E+04
SRSF7,1.42E+06,2.71E+05,8.23E+05,4.13E+05,1.68E+04
RBBP7,8.06E+05,3.02E+05,1.03E+06,3.98E+05,1.06E+04
DDX21,2.82E+06,3.70E+05,2.29E+06,3.79E+05,9.61E+03
ENO1,5.27E+05,1.81E+05,1.43E+05,3.37E+05,9.57E+04
SMARCC1,2.96E+06,1.20E+05,2.26E+06,2.89E+05,1.10E+04
PARP1,5.45E+05,2.42E+05,3.00E+05,2.87E+05,7.06E+03
TRIM28,3.07E+05,1.70E+05,3.70E+05,2.81E+05,9.55E+04
SMARCA5,7.85E+05,1.68E+05,5.17E+05,2.65E+05,1.86E+04
YY1,3.64E+05,7.83E+05,2.92E+04,2.64E+05,1.79E+06
ZNF512B,3.68E+05,2.29E+05,3.15E+05,2.26E+05,1.26E+04
KDM5A,8.48E+05,4.01E+05,7.94E+05,2.10E+05,8.85E+03
YAP1,1.04E+08,8.29E+05,1.77E+07,1.91E+05,9.32E+04
ERCC2,2.50E+05,2.37E+05,1.55E+05,1.88E+05,1.61E+05
SALL4,9.57E+05,8.09E+04,6.58E+05,1.80E+05,6.99E+04
ILF3,3.80E+05,1.10E+05,3.12E+05,1.79E+05,6.73E+03
FUS,7.31E+05,1.11E+05,2.05E+05,1.78E+05,2.36E+04
WWTR1,6.44E+04,1.25E+04,1.44E+07,1.68E+05,1.01E+05
SRSF3,1.91E+05,9.01E+04,1.05E+05,1.58E+05,2.07E+04
KRT3,7.07E+04,3.48E+04,2.15E+05,1.33E+05,5.40E+04
ARID1A,1.08E+06,7.33E+04,6.98E+05,1.30E+05,4.93E+04
MYBBP1A,3.56E+06,1.33E+05,2.39E+06,1.23E+05,8.63E+03
U2AF2,4.41E+05,6.73E+04,1.78E+05,1.20E+05,2.21E+04
MTA1,3.63E+05,3.09E+04,2.96E+05,1.05E+05,1.30E+04
SMARCA4,2.20E+06,6.24E+04,1.78E+06,9.56E+04,1.80E+04
RBFOX2,,1.25E+05,4.78E+05,7.56E+04,1.72E+05
CAT,2.53E+05,1.58E+05,1.61E+05,5.59E+04,8.80E+04
SP2,2.87E+05,6.38E+04,2.41E+05,3.97E+04,3.12E+04
PTMA,1.99E+04,1.28E+04,1.45E+04,1.29E+04,6.26E+03
TEAD3,1.50E+07,1.49E+05,2.20E+04,,1.19E+04
MCM7,5.55E+04,3.26E+04,3.31E+04,,1.87E+04
PHB2,1.01E+05,2.99E+04,1.58E+04,,4.97E+04
