Gene Symbol,t=24 WT YAP Abundance 1248771,t=24 YT2 YAP Abundance 1248772,t=24 WT TAZ Abundance 1248773,t=24 YT2 TAZ Abundance 1248774,t=24 Y2 TAZ Abundance 1248775
DPF2,9.95E+04,,5.75E+04,,
SMARCA2,7.16E+04,,5.21E+04,,
MCM5,3.50E+04,,3.61E+04,,
CHD8,3.39E+04,,3.22E+04,,
ARID2,5.96E+04,,2.13E+04,,
TEAD4,2.96E+06,,1.67E+04,,
TEAD1,4.04E+06,,,,
HNRNPUL1,1.76E+05,,,,
TIAL1,4.37E+04,,,,
ETV6,,,,,
SF1,,,,,
INTS12,,,,,
SMC3,,,,,
SAP130,,,,,
GSPT2,,,,,
XRN2,,,,,
ZMYND8,,,,,
ZNF362,,,,,
ZNF532,,,,,
ARID1B,,,,,
