Protein FDR Confidence Combined,Master,Accession,Description,% Coverage,# Peptides,# PSMs,# Unique Peptides,MW in kDa,Gene Symbol,t=0; WT TAZ; Abundance 1226503,t=24; WT TAZ; Abundance 1226504,t=36; WT TAZ; Abundance 1226505,t=48; WT TAZ; Abundance 1226506,t=0; Y2 TAZ; Abundance 1226507,t=24; Y2 TAZ; Abundance 1226508,t=36; Y2 TAZ; Abundance 1226509,t=48; Y2 TAZ; Abundance 1226510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P0DOX5,Immunoglobulin gamma-1 heavy chain OS=Homo sapiens OX=9606 PE=1 SV=2,33,11,177,5,49.3,,6.03E+08,6.19E+08,6.60E+08,4.97E+08,7.80E+08,7.78E+08,4.87E+08,6.15E+08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P60709,"Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1",87,38,3842,16,41.7,ACTB,9.22E+09,9.54E+09,1.52E+10,1.42E+10,7.41E+07,7.46E+08,2.81E+09,7.91E+08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P35580,Myosin-10 OS=Homo sapiens OX=9606 GN=MYH10 PE=1 SV=3,71,201,3424,166,228.9,MYH10,1.21E+09,1.93E+09,4.42E+09,5.16E+09,4.50E+06,2.52E+08,6.87E+08,1.47E+08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P35579,Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4,72,196,3044,161,226.4,MYH9,6.80E+08,7.72E+08,2.57E+09,3.28E+09,3.56E+06,2.20E+08,5.86E+08,1.28E+08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q13813,"Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=3",82,228,3186,228,284.4,SPTAN1,1.26E+09,1.38E+09,2.76E+09,2.54E+09,5.52E+06,1.92E+08,7.73E+08,1.34E+08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q01082,"Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=2",75,186,2690,168,274.4,SPTBN1,1.15E+09,1.11E+09,2.16E+09,2.13E+09,4.75E+06,1.81E+08,6.34E+08,1.12E+08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P04264,"Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6",54,51,900,44,66,KRT1,1.82E+08,4.99E+08,2.64E+08,2.75E+08,2.89E+08,1.39E+08,3.15E+08,1.11E+08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O60814,Histone H2B type 1-K OS=Homo sapiens OX=9606 GN=H2BC12 PE=1 SV=3,61,11,262,4,13.9,H2BC12,1.93E+08,2.77E+08,5.67E+08,1.21E+09,2.66E+06,1.38E+08,8.41E+08,7.97E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q6FI13,Histone H2A type 2-A OS=Homo sapiens OX=9606 GN=H2AC19 PE=1 SV=3,66,12,226,4,14.1,H2AC18; H2AC19,2.38E+08,3.43E+08,7.77E+08,1.09E+09,3.20E+06,1.36E+08,8.01E+08,1.07E+08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P13645,"Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6",67,39,804,33,58.8,KRT10,1.89E+08,5.45E+08,2.04E+08,2.12E+08,4.79E+08,1.32E+08,5.48E+08,8.13E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P21333,Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4,66,143,1971,126,280.6,FLNA,6.25E+08,6.25E+08,1.70E+09,1.77E+09,4.59E+06,1.18E+08,3.81E+08,1.13E+08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62805,Histone H4 OS=Homo sapiens OX=9606 GN=H4C16 PE=1 SV=2,58,12,413,12,11.4,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,1.97E+08,3.83E+08,9.21E+08,1.03E+09,2.46E+06,1.08E+08,9.41E+08,8.06E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P35527,"Keratin, type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3",60,35,443,34,62,KRT9,6.18E+07,1.86E+08,1.29E+08,1.62E+08,4.13E+07,8.38E+07,8.85E+07,5.36E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P35908,"Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens OX=9606 GN=KRT2 PE=1 SV=2",82,52,733,36,65.4,KRT2,1.20E+08,2.50E+08,1.33E+08,1.74E+08,4.07E+08,8.04E+07,4.11E+08,6.49E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q8TDD1,ATP-dependent RNA helicase DDX54 OS=Homo sapiens OX=9606 GN=DDX54 PE=1 SV=2,29,23,92,22,98.5,DDX54,1.45E+08,1.05E+08,1.06E+08,7.95E+07,1.17E+08,7.68E+07,9.72E+07,6.45E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P68431,Histone H3.1 OS=Homo sapiens OX=9606 GN=H3C12 PE=1 SV=2,37,8,114,3,15.4,H3C1; H3C10; H3C11; H3C12; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8,1.19E+08,2.31E+08,4.64E+08,7.58E+08,1.58E+06,7.52E+07,5.08E+08,3.44E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q16643,Drebrin OS=Homo sapiens OX=9606 GN=DBN1 PE=1 SV=4,57,46,905,46,71.4,DBN1,4.57E+08,5.55E+08,1.02E+09,1.11E+09,8.03E+06,5.39E+07,1.50E+08,2.92E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P27816,Microtubule-associated protein 4 OS=Homo sapiens OX=9606 GN=MAP4 PE=1 SV=3,49,55,457,55,120.9,MAP4,4.52E+07,2.81E+07,3.53E+07,5.32E+07,3.36E+07,4.39E+07,2.74E+07,3.91E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P68104,Elongation factor 1-alpha 1 OS=Homo sapiens OX=9606 GN=EEF1A1 PE=1 SV=1,58,21,372,21,50.1,EEF1A1,1.57E+08,1.74E+08,4.21E+08,4.29E+08,5.67E+06,3.03E+07,1.27E+08,7.18E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9ULV4,Coronin-1C OS=Homo sapiens OX=9606 GN=CORO1C PE=1 SV=1,51,30,421,27,53.2,CORO1C,1.90E+08,1.69E+08,4.11E+08,5.31E+08,1.69E+06,2.89E+07,1.03E+08,2.69E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P06748,Nucleophosmin OS=Homo sapiens OX=9606 GN=NPM1 PE=1 SV=2,48,16,362,16,32.6,NPM1,3.31E+08,4.01E+08,8.16E+08,9.46E+08,2.67E+06,2.21E+07,8.38E+07,3.25E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P09874,Poly [ADP-ribose] polymerase 1 OS=Homo sapiens OX=9606 GN=PARP1 PE=1 SV=4,57,56,528,56,113,PARP1,6.62E+07,9.34E+07,1.75E+08,2.03E+08,5.35E+05,2.04E+07,1.13E+08,1.25E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q92614,Unconventional myosin-XVIIIa OS=Homo sapiens OX=9606 GN=MYO18A PE=1 SV=3,65,123,990,123,233,MYO18A,2.91E+08,2.77E+08,3.71E+08,4.02E+08,2.16E+05,1.80E+07,4.69E+07,7.33E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O43707,Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2,77,68,892,46,104.8,ACTN4,2.67E+08,3.97E+08,6.98E+08,7.28E+08,6.38E+05,1.79E+07,8.49E+07,2.01E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P19338,Nucleolin OS=Homo sapiens OX=9606 GN=NCL PE=1 SV=3,43,43,479,43,76.6,NCL,1.49E+08,3.06E+08,4.48E+08,5.52E+08,2.10E+06,1.76E+07,6.42E+07,1.51E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P68032,"Actin, alpha cardiac muscle 1 OS=Homo sapiens OX=9606 GN=ACTC1 PE=1 SV=1",76,31,1573,3,42,ACTC1,4.85E+08,5.84E+08,1.30E+09,1.12E+09,1.65E+06,1.69E+07,1.90E+08,3.98E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P68371,Tubulin beta-4B chain OS=Homo sapiens OX=9606 GN=TUBB4B PE=1 SV=1,67,27,461,3,49.8,TUBB4B,8.03E+07,8.37E+07,2.69E+08,3.54E+08,2.97E+06,1.68E+07,5.92E+07,4.39E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P05141,ADP/ATP translocase 2 OS=Homo sapiens OX=9606 GN=SLC25A5 PE=1 SV=7,45,15,152,5,32.8,SLC25A5,1.72E+07,2.39E+07,5.56E+07,1.03E+08,2.00E+06,1.58E+07,4.83E+07,2.18E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P16402,Histone H1.3 OS=Homo sapiens OX=9606 GN=H1-3 PE=1 SV=2,37,14,83,5,22.3,H1-3,1.60E+07,7.56E+06,2.16E+07,6.96E+07,9.29E+05,1.53E+07,9.24E+07,4.86E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q00839,Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens OX=9606 GN=HNRNPU PE=1 SV=6,50,47,513,47,90.5,HNRNPU,2.05E+08,2.91E+08,4.90E+08,6.41E+08,3.00E+06,1.42E+07,5.88E+07,2.07E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P23246,"Splicing factor, proline- and glutamine-rich OS=Homo sapiens OX=9606 GN=SFPQ PE=1 SV=2",50,37,377,36,76.1,SFPQ,1.16E+08,3.06E+08,6.16E+08,6.13E+08,2.06E+06,1.40E+07,4.75E+07,1.29E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P52272,Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens OX=9606 GN=HNRNPM PE=1 SV=3,59,49,513,49,77.5,HNRNPM,1.22E+08,2.10E+08,3.98E+08,6.79E+08,2.74E+06,1.38E+07,4.25E+07,1.91E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P11388,DNA topoisomerase 2-alpha OS=Homo sapiens OX=9606 GN=TOP2A PE=1 SV=3,51,75,467,60,174.3,TOP2A,6.69E+07,4.85E+07,1.13E+08,1.21E+08,5.61E+05,1.35E+07,8.01E+07,1.02E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P02533,"Keratin, type I cytoskeletal 14 OS=Homo sapiens OX=9606 GN=KRT14 PE=1 SV=4",74,37,314,17,51.5,KRT14,1.34E+07,5.38E+07,3.79E+07,2.65E+07,1.20E+07,1.31E+07,2.69E+07,7.42E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q71U36,Tubulin alpha-1A chain OS=Homo sapiens OX=9606 GN=TUBA1A PE=1 SV=1,59,22,380,1,50.1,TUBA1A,7.96E+07,7.85E+07,2.20E+08,2.51E+08,3.77E+06,1.27E+07,4.84E+07,4.71E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9UHB6,LIM domain and actin-binding protein 1 OS=Homo sapiens OX=9606 GN=LIMA1 PE=1 SV=1,66,45,276,45,85.2,LIMA1,4.49E+07,4.09E+07,1.17E+08,1.60E+08,2.66E+05,1.21E+07,6.55E+07,1.20E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q15149,Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=3,19,69,166,64,531.5,PLEC,4.26E+07,2.59E+07,2.89E+07,2.70E+07,2.17E+07,1.11E+07,2.25E+07,1.10E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P07910,Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens OX=9606 GN=HNRNPC PE=1 SV=4,46,18,265,18,33.7,HNRNPC,1.22E+08,1.58E+08,2.24E+08,3.40E+08,3.12E+06,1.10E+07,3.85E+07,1.46E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q07157,Tight junction protein ZO-1 OS=Homo sapiens OX=9606 GN=TJP1 PE=1 SV=3,49,78,844,76,195.3,TJP1,2.26E+08,2.99E+08,4.88E+08,5.07E+08,5.30E+06,1.09E+07,4.98E+07,8.56E+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P78527,DNA-dependent protein kinase catalytic subunit OS=Homo sapiens OX=9606 GN=PRKDC PE=1 SV=3,51,186,1148,186,468.8,PRKDC,1.36E+08,1.92E+08,3.94E+08,4.90E+08,1.02E+06,1.07E+07,4.68E+07,1.47E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O75369,Filamin-B OS=Homo sapiens OX=9606 GN=FLNB PE=1 SV=2,57,112,704,96,278,FLNB,1.03E+08,9.88E+07,1.93E+08,1.73E+08,5.10E+05,9.98E+06,3.55E+07,1.01E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P17844,Probable ATP-dependent RNA helicase DDX5 OS=Homo sapiens OX=9606 GN=DDX5 PE=1 SV=1,52,38,387,29,69.1,DDX5,1.26E+08,1.85E+08,2.94E+08,4.27E+08,1.62E+06,9.94E+06,4.52E+07,1.48E+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
