Accession,Descriptions,Genes,#.Peptides.QEX3_1226028,#.Peptides.QEX3_1226029,#.Peptides.QEX3_1226030,#.Peptides.QEX3_1226031,#.Peptides.QEX3_1226032,#.Peptides.QEX3_1226033,#.Peptides.QEX3_1226034,#.PSMs.QEX3_1226028,#.PSMs.QEX3_1226029,#.PSMs.QEX3_1226030,#.PSMs.QEX3_1226031,#.PSMs.QEX3_1226032,#.PSMs.QEX3_1226033,#.PSMs.QEX3_1226034,#.Unique.Peptides.QEX3_1226028,#.Unique.Peptides.QEX3_1226029,#.Unique.Peptides.QEX3_1226030,#.Unique.Peptides.QEX3_1226031,#.Unique.Peptides.QEX3_1226032,#.Unique.Peptides.QEX3_1226033,#.Unique.Peptides.QEX3_1226034,%.Coverage.QEX3_1226028,%.Coverage.QEX3_1226029,%.Coverage.QEX3_1226030,%.Coverage.QEX3_1226031,%.Coverage.QEX3_1226032,%.Coverage.QEX3_1226033,%.Coverage.QEX3_1226034,t=0; WTYAP; Abundance.QEX3_1226028,t=24; WTYAP; Abundance.QEX3_1226029,t=36; WTYAP; Abundance.QEX3_1226030,t=48; WTYAP; Abundance.QEX3_1226031,t=0; Y2TAZ; Abundance.QEX3_1226032,t=36; Y2TAZ; Abundance.QEX3_1226033,t=48; Y2TAZ; Abundance.QEX3_1226034,,,,,,
P60709,"Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1, Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1, Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1, Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1, Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1, Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1, Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1, Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1",ACTB,26,32,32,33,20,3,3,180,667,561,559,103,6,4,9,13,13,13,8,3,3,71,77,77,85,66,14,12,148467407.86,4896072981.48,6369900639.65,13511899464.38,47653584.02,400015.46,673217.00,,,,,,
P35580,"Myosin-10 OS=Homo sapiens OX=9606 GN=MYH10 PE=1 SV=3, Myosin-10 OS=Homo sapiens OX=9606 GN=MYH10 PE=1 SV=3, Myosin-10 OS=Homo sapiens OX=9606 GN=MYH10 PE=1 SV=3, Myosin-10 OS=Homo sapiens OX=9606 GN=MYH10 PE=1 SV=3, Myosin-10 OS=Homo sapiens OX=9606 GN=MYH10 PE=1 SV=3",MYH10,51,173,179,177,54,,,82,502,577,526,71,,,36,147,152,152,44,,,31,67,68,67,31,,,3575323.10,317406697.19,469826144.00,1312528071.78,3591396.52,,,,,,,,
P35579,"Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4, Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4, Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4, Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4, Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4, Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4",MYH9,43,168,184,174,53,1,,61,460,574,484,67,1,,28,142,157,149,43,1,,26,69,71,68,30,1,,2436662.17,158665243.31,688678540.63,737481527.79,2270879.11,9361.10,,,,,,,
Q13813,"Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=3, Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=3, Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=3, Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=3, Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=3",SPTAN1,42,201,190,188,62,,,47,441,408,395,74,,,42,201,190,188,62,,,19,73,73,73,30,,,1597365.72,185632655.88,230968511.57,581108609.71,3852465.95,,,,,,,,
Q01082,"Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=2, Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=2, Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=2, Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=2, Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=2",SPTBN1,40,175,166,177,67,,,47,435,382,404,87,,,40,159,151,162,67,,,21,71,68,72,36,,,2075959.87,190725786.23,233910309.54,555969288.29,3537082.51,,,,,,,,
P68032,"Actin, alpha cardiac muscle 1 OS=Homo sapiens OX=9606 GN=ACTC1 PE=1 SV=1, Actin, alpha cardiac muscle 1 OS=Homo sapiens OX=9606 GN=ACTC1 PE=1 SV=1, Actin, alpha cardiac muscle 1 OS=Homo sapiens OX=9606 GN=ACTC1 PE=1 SV=1, Actin, alpha cardiac muscle 1 OS=Homo sapiens OX=9606 GN=ACTC1 PE=1 SV=1, Actin, alpha cardiac muscle 1 OS=Homo sapiens OX=9606 GN=ACTC1 PE=1 SV=1",ACTC1,17,22,20,21,14,,,99,346,282,309,44,,,4,6,1,4,3,,,46,46,44,42,38,,,1262059.05,79385363.66,94911636.79,218764015.23,452167.03,,,,,,,,
P21333,"Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4, Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4, Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4, Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4, Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4",FLNA,18,118,128,132,30,,,20,236,296,310,37,,,16,109,118,123,29,,,9,59,63,63,17,,,457270.99,65463988.60,178228187.42,433961882.04,777924.94,,,,,,,,
Q562R1,"Beta-actin-like protein 2 OS=Homo sapiens OX=9606 GN=ACTBL2 PE=1 SV=2, Beta-actin-like protein 2 OS=Homo sapiens OX=9606 GN=ACTBL2 PE=1 SV=2, Beta-actin-like protein 2 OS=Homo sapiens OX=9606 GN=ACTBL2 PE=1 SV=2, Beta-actin-like protein 2 OS=Homo sapiens OX=9606 GN=ACTBL2 PE=1 SV=2",ACTBL2,8,13,14,12,,,,64,206,160,168,,,,1,6,6,4,,,,20,39,35,26,,,,,1480130.81,2354035.37,10437572.06,,,,,,,,,
O43707,"Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2, Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2, Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2, Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2, Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2",ACTN4,11,66,56,68,11,,,13,213,139,208,12,,,4,45,37,46,6,,,16,77,71,74,15,,,49273.72,95319753.78,59447033.98,271180338.49,257831.12,,,,,,,,
P12814,"Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2, Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2, Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2, Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2, Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2",ACTN1,12,59,55,64,8,,,16,193,149,209,9,,,5,37,36,42,3,,,16,74,70,73,10,,,300181.03,26423374.38,30239206.75,128218149.58,54748.18,,,,,,,,
