,,,,,,,,,,,,,,,,,,,t=0 (Prime),t=24 (NMP),t=36,t=48,,,,,,,,,,,,,,,,,,,,,,,,,,
Accession,Genes,Descriptions,#.Peptides.QEX3_1181218,#.Peptides.QEX3_1181219,#.Peptides.QEX3_1181220,#.Peptides.QEX3_1181221,#.PSMs.QEX3_1181218,#.PSMs.QEX3_1181219,#.PSMs.QEX3_1181220,#.PSMs.QEX3_1181221,#.Unique.Peptides.QEX3_1181218,#.Unique.Peptides.QEX3_1181219,#.Unique.Peptides.QEX3_1181220,#.Unique.Peptides.QEX3_1181221,%.Coverage.QEX3_1181218,%.Coverage.QEX3_1181219,%.Coverage.QEX3_1181220,%.Coverage.QEX3_1181221,Abundance.QEX3_1181218,Abundance.QEX3_1181219,Abundance.QEX3_1181220,Abundance.QEX3_1181221,,,,,,,,,,,,,,,,,,,,,,,,,,
Q08188,TGM3,"Protein-glutamine gamma-glutamyltransferase E OS=Homo sapiens OX=9606 GN=TGM3 PE=1 SV=4, Protein-glutamine gamma-glutamyltransferase E OS=Homo sapiens OX=9606 GN=TGM3 PE=1 SV=4",,,2,1,,,3,1,,,2,1,,,4,1,,,,1.14E+05,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9P225,DNAH2,Dynein axonemal heavy chain 2 OS=Homo sapiens OX=9606 GN=DNAH2 PE=1 SV=3,,,,1,,,,2,,,,1,,,,0,,,,1.30E+05,,,,,,,,,,,,,,,,,,,,,,,,,,
A6NMY6,ANXA2P2,Putative annexin A2-like protein OS=Homo sapiens OX=9606 GN=ANXA2P2 PE=5 SV=2,,,,1,,,,1,,,,1,,,,3,,,,1.74E+05,,,,,,,,,,,,,,,,,,,,,,,,,,
P19013,KRT4,"Keratin, type II cytoskeletal 4 OS=Homo sapiens OX=9606 GN=KRT4 PE=1 SV=5, Keratin, type II cytoskeletal 4 OS=Homo sapiens OX=9606 GN=KRT4 PE=1 SV=5",4,,,7,14,,,29,1,,,3,8,,,14,,,,1.43E+06,,,,,,,,,,,,,,,,,,,,,,,,,,
P78386,KRT85,"Keratin, type II cuticular Hb5 OS=Homo sapiens OX=9606 GN=KRT85 PE=1 SV=1, Keratin, type II cuticular Hb5 OS=Homo sapiens OX=9606 GN=KRT85 PE=1 SV=1, Keratin, type II cuticular Hb5 OS=Homo sapiens OX=9606 GN=KRT85 PE=1 SV=1, Keratin, type II cuticular Hb5 OS=Homo sapiens OX=9606 GN=KRT85 PE=1 SV=1",2,4,2,2,2,4,2,3,1,1,1,1,4,10,3,3,,,5.09E+05,3.82E+05,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6VVX0,CYP2R1,"Vitamin D 25-hydroxylase OS=Homo sapiens OX=9606 GN=CYP2R1 PE=1 SV=1, Vitamin D 25-hydroxylase OS=Homo sapiens OX=9606 GN=CYP2R1 PE=1 SV=1",,,1,1,,,1,1,,,1,1,,,1,1,,,1.59E+06,1.09E+06,,,,,,,,,,,,,,,,,,,,,,,,,,
Q86TJ2,TADA2B,"Transcriptional adapter 2-beta OS=Homo sapiens OX=9606 GN=TADA2B PE=1 SV=2, Transcriptional adapter 2-beta OS=Homo sapiens OX=9606 GN=TADA2B PE=1 SV=2",,,1,1,,,1,1,,,1,1,,,2,2,,,4.26E+06,1.65E+06,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6KB66,KRT80,"Keratin, type II cytoskeletal 80 OS=Homo sapiens OX=9606 GN=KRT80 PE=1 SV=2, Keratin, type II cytoskeletal 80 OS=Homo sapiens OX=9606 GN=KRT80 PE=1 SV=2, Keratin, type II cytoskeletal 80 OS=Homo sapiens OX=9606 GN=KRT80 PE=1 SV=2",,2,4,2,,26,40,21,,1,3,1,,5,11,4,,4.35E+04,3.21E+05,1.35E+05,,,,,,,,,,,,,,,,,,,,,,,,,,
P04259,KRT6B,"Keratin, type II cytoskeletal 6B OS=Homo sapiens OX=9606 GN=KRT6B PE=1 SV=5, Keratin, type II cytoskeletal 6B OS=Homo sapiens OX=9606 GN=KRT6B PE=1 SV=5, Keratin, type II cytoskeletal 6B OS=Homo sapiens OX=9606 GN=KRT6B PE=1 SV=5",,11,25,17,,42,93,56,,1,2,2,,21,44,29,,8.51E+04,1.41E+06,1.76E+06,,,,,,,,,,,,,,,,,,,,,,,,,,
