Protein FDR Confidence Combined,Master,Accession,Description,% Coverage,# Peptides,# PSMs,# Unique Peptides,MW in kDa,Gene Symbol,t=0 (Prime); WT YAP; Abundance 1221003,t=24 (NMP); WT YAP; Abundance 1221004,t=36; WT YAP; Abundance 1221005,t=48 (PSM); WT YAP; Abundance 1221006,t=0 (Prime); WT TAZ; Abundance 1221007,t=24 (NMP); WT TAZ; Abundance 1221008,t=36; WT TAZ; Abundance 1221009,t=48 (PSM); WT TAZ; Abundance 1221010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q13813,"Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=3",76,196,3267,196,284.4,SPTAN1,868857161.03,1884710480.06,477995650.37,523606432.74,395881943.77,1953783879.33,1060686490.93,218804281.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q01082,"Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=2",71,177,2824,162,274.4,SPTBN1,866670263.68,1741483172.00,481487126.66,434911908.89,380540720.53,1814411184.73,1033973594.31,211881556.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P35580,Myosin-10 OS=Homo sapiens OX=9606 GN=MYH10 PE=1 SV=3,67,165,2188,131,228.9,MYH10,345110928.85,2310916820.84,249238239.01,251566221.72,231849504.56,1582327292.80,595453741.11,138845911.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P21333,Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4,65,140,2161,129,280.6,FLNA,689053157.59,1392587862.19,294468985.00,304407064.55,443459867.50,1235187398.24,636681777.86,190041025.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P35579,Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4,68,155,2112,123,226.4,MYH9,209832968.67,1494093987.18,203466227.67,154713114.86,134516647.83,902169028.56,321918174.09,86611938.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P60709,"Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1",83,28,2046,11,41.7,ACTB,4792116635.00,7218885436.31,2297242200.90,2444959375.16,1358777089.37,7914814056.79,3059537054.43,555630371.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q07157,Tight junction protein ZO-1 OS=Homo sapiens OX=9606 GN=TJP1 PE=1 SV=3,50,78,1271,77,195.3,TJP1,311598103.47,630761095.02,172095386.95,207067119.85,123238506.61,659625433.37,421293256.65,47845581.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P78527,DNA-dependent protein kinase catalytic subunit OS=Homo sapiens OX=9606 GN=PRKDC PE=1 SV=3,40,157,1215,157,468.8,PRKDC,165047769.18,374240394.59,91319976.42,119183691.77,80696833.35,367132087.98,215619628.95,22944205.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q16643,Drebrin OS=Homo sapiens OX=9606 GN=DBN1 PE=1 SV=4,52,40,1095,40,71.4,DBN1,790218651.49,1523473376.75,247477910.65,260410402.27,261318908.33,1209964703.08,667108931.74,69563017.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O43707,Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2,76,63,1046,46,104.8,ACTN4,307424092.18,504616786.08,70542740.44,96364942.28,112861844.47,451423807.09,270282681.19,58819689.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O75369,Filamin-B OS=Homo sapiens OX=9606 GN=FLNB PE=1 SV=2,52,103,896,92,278,FLNB,113157113.40,225168871.26,41212542.88,39223011.09,77381573.62,203276938.83,94048065.38,21574854.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P19338,Nucleolin OS=Homo sapiens OX=9606 GN=NCL PE=1 SV=3,47,54,857,54,76.6,NCL,308124886.35,1337905999.90,172342389.79,201517193.53,96840761.91,1123669467.99,455165218.80,70356951.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P12814,Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2,74,58,833,39,103,ACTN1,87373211.52,210831931.88,29175498.55,30347374.84,32226215.38,198606689.44,103746402.01,10989420.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P68032,"Actin, alpha cardiac muscle 1 OS=Homo sapiens OX=9606 GN=ACTC1 PE=1 SV=1",46,18,830,4,42,ACTC1,47837121.09,247986603.13,20086087.37,41670880.00,18239700.00,171762837.91,35445640.53,3051620.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P06748,Nucleophosmin OS=Homo sapiens OX=9606 GN=NPM1 PE=1 SV=2,49,19,785,19,32.6,NPM1,643728208.37,1839884904.55,416840925.71,489434058.03,282235754.55,1731506272.67,777363440.22,127381143.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9NR30,Nucleolar RNA helicase 2 OS=Homo sapiens OX=9606 GN=DDX21 PE=1 SV=5,58,49,714,46,87.3,DDX21,141252072.61,382149467.79,74379114.43,137757459.03,69933649.96,397857123.86,275186270.05,23684042.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P09874,Poly [ADP-ribose] polymerase 1 OS=Homo sapiens OX=9606 GN=PARP1 PE=1 SV=4,50,52,647,52,113,PARP1,100165935.41,333644770.52,61708664.09,90935783.52,47099381.13,298216463.25,196375974.14,11628184.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P27816,Microtubule-associated protein 4 OS=Homo sapiens OX=9606 GN=MAP4 PE=1 SV=3,52,59,615,59,120.9,MAP4,71525054.69,78825365.06,52562067.54,109520623.06,90495780.04,85908755.86,94077453.62,91804538.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O43795,Unconventional myosin-Ib OS=Homo sapiens OX=9606 GN=MYO1B PE=1 SV=3,50,55,593,54,131.9,MYO1B,135897360.43,190092078.31,61325883.43,86572322.28,49797155.63,174278561.42,154483331.54,12022937.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P11388,DNA topoisomerase 2-alpha OS=Homo sapiens OX=9606 GN=TOP2A PE=1 SV=3,44,72,562,56,174.3,TOP2A,76924941.25,200746977.25,42031345.48,65493008.59,55855185.59,185065151.88,161884762.81,6588743.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P55196,Afadin OS=Homo sapiens OX=9606 GN=AFDN PE=1 SV=3,42,70,562,70,206.7,AFDN,139106535.18,198442801.53,42683287.02,46453713.79,37699645.61,193725947.04,114782911.27,9868955.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q6P2Q9,Pre-mRNA-processing-splicing factor 8 OS=Homo sapiens OX=9606 GN=PRPF8 PE=1 SV=2,38,78,561,78,273.4,PRPF8,35380082.36,126647709.63,26948961.56,47136722.90,25736321.96,104777639.50,56718299.66,31078613.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9UDY2,Tight junction protein ZO-2 OS=Homo sapiens OX=9606 GN=TJP2 PE=1 SV=2,50,54,550,53,133.9,TJP2,169454824.33,241832325.79,53469463.97,61312584.51,51310214.55,233432920.77,136724991.54,11962764.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q14690,Protein RRP5 homolog OS=Homo sapiens OX=9606 GN=PDCD11 PE=1 SV=3,46,78,548,78,208.6,PDCD11,74885496.55,110829920.50,23379734.80,37391698.38,26549937.16,124199170.90,102874153.94,3626386.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P0CG39,POTE ankyrin domain family member J OS=Homo sapiens OX=9606 GN=POTEJ PE=3 SV=1,10,8,520,2,117.3,POTEJ,63420233.73,158827996.95,32480156.13,23919602.69,12983371.41,126983968.41,36792037.58,3139239.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q92614,Unconventional myosin-XVIIIa OS=Homo sapiens OX=9606 GN=MYO18A PE=1 SV=3,42,81,514,81,233,MYO18A,35950421.09,235812677.62,26426367.59,21865112.97,18487094.86,161502961.41,57058012.29,3678581.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P52272,Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens OX=9606 GN=HNRNPM PE=1 SV=3,56,41,510,41,77.5,HNRNPM,129386670.84,236487625.93,62780037.30,111410804.83,81181332.08,254313158.53,164091231.11,21748513.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q5T7N2,LINE-1 type transposase domain-containing protein 1 OS=Homo sapiens OX=9606 GN=L1TD1 PE=1 SV=1,55,55,468,55,98.8,L1TD1,99620711.36,248587258.38,30040769.51,27093826.79,43658902.10,245472899.70,99049958.06,5085642.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q00839,Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens OX=9606 GN=HNRNPU PE=1 SV=6,37,37,451,37,90.5,HNRNPU,86805963.97,201711448.34,51600778.34,108960041.99,75748699.30,256054059.26,166256710.92,24744256.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P23246,"Splicing factor, proline- and glutamine-rich OS=Homo sapiens OX=9606 GN=SFPQ PE=1 SV=2",42,32,440,31,76.1,SFPQ,141480426.66,272983593.80,77486312.58,125007956.31,93588944.66,331160678.15,247615007.53,182064037.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O75643,U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Homo sapiens OX=9606 GN=SNRNP200 PE=1 SV=2,37,65,436,65,244.4,SNRNP200,29857166.83,88079700.37,22196046.90,42724873.42,23424105.12,92390421.61,51831050.97,30966119.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62805,Histone H4 OS=Homo sapiens OX=9606 GN=H4C16 PE=1 SV=2,54,10,435,10,11.4,H4C1; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9,530019554.21,1150174538.48,325941274.27,312214781.63,133392845.99,1094247614.55,462563249.65,28980191.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P61978,Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens OX=9606 GN=HNRNPK PE=1 SV=1,56,27,434,27,50.9,HNRNPK,76812113.38,124930774.50,33642521.77,54589658.49,32440234.94,152651910.79,74638239.93,17296163.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q15233,Non-POU domain-containing octamer-binding protein OS=Homo sapiens OX=9606 GN=NONO PE=1 SV=4,52,31,433,28,54.2,NONO,124219775.46,204536675.18,73356564.44,137917294.39,88428997.11,227253691.75,161643659.28,66641897.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q562R1,Beta-actin-like protein 2 OS=Homo sapiens OX=9606 GN=ACTBL2 PE=1 SV=2,28,12,432,4,42,ACTBL2,530428.25,1111088.13,401200.94,200273.39,107373.46,1226049.63,514400.34,113122.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q02880,DNA topoisomerase 2-beta OS=Homo sapiens OX=9606 GN=TOP2B PE=1 SV=3,37,55,417,39,183.2,TOP2B,25295745.67,65078221.48,13143632.29,27224445.43,16583233.41,54922968.39,51830230.57,2449484.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9H0A0,RNA cytidine acetyltransferase OS=Homo sapiens OX=9606 GN=NAT10 PE=1 SV=2,49,43,386,43,115.7,NAT10,55682970.25,126676746.59,25632406.07,40045797.05,18881021.74,125602234.29,93608026.24,8155131.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9H583,HEAT repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=HEATR1 PE=1 SV=3,33,61,372,61,242.2,HEATR1,31076386.83,94689756.95,22111454.82,24300564.59,16599923.42,86374012.33,63385156.37,1945910536.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9P2M7,Cingulin OS=Homo sapiens OX=9606 GN=CGN PE=1 SV=3,57,62,364,62,137,CGN,61095487.53,95481699.80,23047047.90,22514582.00,31733738.45,128715911.25,63335563.73,2485738.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
