Protein FDR Confidence Combined,Master,Accession,Description,% Coverage,# Peptides,# PSMs,# Unique Peptides,MW in kDa,Gene Symbol,"t=24 WT TAZ, Abundance QEX3_1244798","t=24 YT2 TAZ, Abundance QEX3_1244799","t=24 WT YAP, Abundance QEX3_1244800","t=24 YT2 TAZ, Abundance QEX3_1244801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P35580,Myosin-10 OS=Homo sapiens OX=9606 GN=MYH10 PE=1 SV=3,68,168,766,143,228.9,MYH10,347208882.69,5336781.54,581173940.56,2620998.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P35579,Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4,69,166,755,140,226.4,MYH9,227096537.14,1610995.91,434835532.49,1027671.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q13813,"Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=3",69,176,572,176,284.4,SPTAN1,123932819.36,1271225.94,231503290.95,702700.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P60709,"Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1",76,29,496,11,41.7,ACTB,1050818447.33,12097183.31,2294849616.62,12459995.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q01082,"Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=2",65,147,482,133,274.4,SPTBN1,132247766.42,17600634.82,224197829.45,10512004.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P21333,Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4,51,100,276,95,280.6,FLNA,33393131.23,270635.21,55356896.86,274518.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P68032,"Actin, alpha cardiac muscle 1 OS=Homo sapiens OX=9606 GN=ACTC1 PE=1 SV=1",54,20,252,5,42,ACTC1,18985740.04,129995.13,37415985.38,79554.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P52272,Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens OX=9606 GN=HNRNPM PE=1 SV=3,63,52,249,52,77.5,HNRNPM,94871477.84,4354090.19,141766735.05,3300579.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P09874,Poly [ADP-ribose] polymerase 1 OS=Homo sapiens OX=9606 GN=PARP1 PE=1 SV=4,52,50,229,50,113,PARP1,35288895.30,9213158.71,46126647.46,8465149.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q92614,Unconventional myosin-XVIIIa OS=Homo sapiens OX=9606 GN=MYO18A PE=1 SV=3,44,85,213,85,233,MYO18A,19569022.75,26526.01,38199049.52,5816.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P78347,General transcription factor II-I OS=Homo sapiens OX=9606 GN=GTF2I PE=1 SV=2,45,43,213,43,112.3,GTF2I,34159370.04,16361739.00,14279739.53,606882.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q07157,Tight junction protein ZO-1 OS=Homo sapiens OX=9606 GN=TJP1 PE=1 SV=3,39,59,202,58,195.3,TJP1,29537259.97,88838.18,48811118.06,156416.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P31327,"Carbamoyl-phosphate synthase [ammonia], mitochondrial OS=Homo sapiens OX=9606 GN=CPS1 PE=1 SV=2",14,13,195,11,164.8,CPS1,8531097.95,7176978.93,3667746.18,2546580.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P19338,Nucleolin OS=Homo sapiens OX=9606 GN=NCL PE=1 SV=3,44,48,178,48,76.6,NCL,112442712.39,5675820.30,164315019.70,3938891.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P07437,Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=2,55,23,164,4,49.6,TUBB,24450039.99,542882.36,29557043.76,879496.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P11388,DNA topoisomerase 2-alpha OS=Homo sapiens OX=9606 GN=TOP2A PE=1 SV=3,37,57,160,44,174.3,TOP2A,25220440.55,1574495.42,35494800.84,1552824.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P12814,Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2,62,45,154,30,103,ACTN1,10175645.72,22939.46,16914736.93,64260.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O43707,Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2,62,50,154,35,104.8,ACTN4,27632368.86,61824.76,43155396.38,182857.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q16643,Drebrin OS=Homo sapiens OX=9606 GN=DBN1 PE=1 SV=4,52,36,152,36,71.4,DBN1,72176769.50,575868.56,130308361.80,518765.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P78527,DNA-dependent protein kinase catalytic subunit OS=Homo sapiens OX=9606 GN=PRKDC PE=1 SV=3,20,78,152,78,468.8,PRKDC,13358762.99,463694.27,14143782.19,228382.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q13885,Tubulin beta-2A chain OS=Homo sapiens OX=9606 GN=TUBB2A PE=1 SV=1,55,22,149,1,49.9,TUBB2A,1966193.07,13008.92,2600135.43,88962.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q562R1,Beta-actin-like protein 2 OS=Homo sapiens OX=9606 GN=ACTBL2 PE=1 SV=2,31,11,149,4,42,ACTBL2,718330.37,,2008418.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P68371,Tubulin beta-4B chain OS=Homo sapiens OX=9606 GN=TUBB4B PE=1 SV=1,49,20,149,1,49.8,TUBB4B,97747.89,15420.42,148456.84,11175.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9BVA1,Tubulin beta-2B chain OS=Homo sapiens OX=9606 GN=TUBB2B PE=1 SV=1,55,22,149,1,49.9,TUBB2B,211982.83,,360872.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O43795,Unconventional myosin-Ib OS=Homo sapiens OX=9606 GN=MYO1B PE=1 SV=3,44,49,148,48,131.9,MYO1B,29519656.68,568880.31,36678886.28,486228.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P46013,Proliferation marker protein Ki-67 OS=Homo sapiens OX=9606 GN=MKI67 PE=1 SV=2,28,63,147,63,358.5,MKI67,10890302.40,1896706.16,14365886.36,991282.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q08211,ATP-dependent RNA helicase A OS=Homo sapiens OX=9606 GN=DHX9 PE=1 SV=4,35,41,147,41,140.9,DHX9,14147987.09,5149911.60,16220128.89,5105971.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9NR30,Nucleolar RNA helicase 2 OS=Homo sapiens OX=9606 GN=DDX21 PE=1 SV=5,57,40,146,37,87.3,DDX21,28690633.66,1074881.23,37650444.97,959920.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q14690,Protein RRP5 homolog OS=Homo sapiens OX=9606 GN=PDCD11 PE=1 SV=3,37,58,145,58,208.6,PDCD11,13905910.15,4229583.88,16333700.07,1343758.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P11387,DNA topoisomerase 1 OS=Homo sapiens OX=9606 GN=TOP1 PE=1 SV=2,38,31,142,26,90.7,TOP1,19327636.96,6287745.34,24156804.22,3332213.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P61978,Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens OX=9606 GN=HNRNPK PE=1 SV=1,50,22,138,22,50.9,HNRNPK,25234614.24,2438247.91,28272363.39,3243776.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q15233,Non-POU domain-containing octamer-binding protein OS=Homo sapiens OX=9606 GN=NONO PE=1 SV=4,43,25,138,23,54.2,NONO,43318814.70,4240405.63,60491266.63,4003709.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P23246,"Splicing factor, proline- and glutamine-rich OS=Homo sapiens OX=9606 GN=SFPQ PE=1 SV=2",41,31,135,30,76.1,SFPQ,51316960.16,6145425.01,75688372.64,5430606.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q92841,Probable ATP-dependent RNA helicase DDX17 OS=Homo sapiens OX=9606 GN=DDX17 PE=1 SV=2,46,31,134,22,80.2,DDX17,9984885.39,679234.31,14624433.12,580689.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,O15020,"Spectrin beta chain, non-erythrocytic 2 OS=Homo sapiens OX=9606 GN=SPTBN2 PE=1 SV=3",29,61,134,47,271.2,SPTBN2,5191590.88,16020.61,10331490.92,33138.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q02880,DNA topoisomerase 2-beta OS=Homo sapiens OX=9606 GN=TOP2B PE=1 SV=3,28,44,129,31,183.2,TOP2B,7681121.64,181142.35,10378808.87,243811.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P27816,Microtubule-associated protein 4 OS=Homo sapiens OX=9606 GN=MAP4 PE=1 SV=3,29,31,124,31,120.9,MAP4,17732388.00,2187904.55,16447178.33,2379356.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P17844,Probable ATP-dependent RNA helicase DDX5 OS=Homo sapiens OX=9606 GN=DDX5 PE=1 SV=1,49,33,123,24,69.1,DDX5,30948601.24,2745654.05,42052233.48,2420588.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
