Protein FDR Confidence Combined,Master,Accession,Description,% Coverage,# Peptides,# PSMs,# Unique Peptides,MW in kDa,Gene Symbol,Abundance 1245818,Abundance 1245819,Abundance 1245820,Abundance 1245821,Abundance 1245822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P27816,Microtubule-associated protein 4 OS=Homo sapiens OX=9606 GN=MAP4 PE=1 SV=3,38,41,237,41,120.9,MAP4,28600641.99,23572796.19,14451162.42,13054541.99,13624059.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q9BY77,Polymerase delta-interacting protein 3 OS=Homo sapiens OX=9606 GN=POLDIP3 PE=1 SV=2,53,20,130,20,46.1,POLDIP3,35093116.6,8198885.045,22260088.48,10575207.41,1072276.501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P15924,Desmoplakin OS=Homo sapiens OX=9606 GN=DSP PE=1 SV=3,17,48,108,48,331.6,DSP,1529147.139,2416009.374,12423530.45,29938122.12,942975.8325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P0DOX5,Immunoglobulin gamma-1 heavy chain OS=Homo sapiens OX=9606 PE=1 SV=2,26,9,98,6,49.3,,163062474.7,103355497.7,1017271985,780534051.9,1046840683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P60709,"Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1",50,13,82,6,41.7,ACTB,9218038.527,5185769.813,7736228.26,4459005.082,811784.4102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P62269,Small ribosomal subunit protein uS13 OS=Homo sapiens OX=9606 GN=RPS18 PE=1 SV=3,49,10,65,10,17.7,RPS18,14675719.72,13861134.12,6566514.906,14959822.08,6009454.824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P01859,Immunoglobulin heavy constant gamma 2 OS=Homo sapiens OX=9606 GN=IGHG2 PE=1 SV=3,16,6,61,3,43.8,IGHG2,738979.7031,537797.9609,247572.6133,188099.9531,178172.8105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P46937,Transcriptional coactivator YAP1 OS=Homo sapiens OX=9606 GN=YAP1 PE=1 SV=2,51,17,61,17,54.4,YAP1,55829608.66,254845.1748,2369908.162,18415.20313,62671.6582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P02768,Albumin OS=Homo sapiens OX=9606 GN=ALB PE=1 SV=2,22,15,60,15,69.3,ALB,5869777.154,14895185.42,4029035.114,2669343.902,1377555.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P14923,Junction plakoglobin OS=Homo sapiens OX=9606 GN=JUP PE=1 SV=3,32,19,54,19,81.7,JUP,578408.3027,1378992.246,6449374.457,6054838.301,437879.7949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q5D862,Filaggrin-2 OS=Homo sapiens OX=9606 GN=FLG2 PE=1 SV=1,8,11,52,11,247.9,FLG2,96606.26172,114785.1167,1138028.236,10175177.84,233698.6328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,Q02413,Desmoglein-1 OS=Homo sapiens OX=9606 GN=DSG1 PE=1 SV=2,18,14,49,14,113.7,DSG1,482205.6445,732387.7617,1648883.809,10062707.09,319856.2759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P04406,Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3,40,12,45,11,36,GAPDH,2066212.313,1699804.282,4274314.396,16399693.14,536272.7031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,Master Protein,P51610,Host cell factor 1 OS=Homo sapiens OX=9606 GN=HCFC1 PE=1 SV=2,10,14,44,14,208.6,HCFC1,5443970.25,1511584.32,2098022.209,1285857.34,151434.5615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
